task,metric,submitted_score_mean,submitted_score_sd,revision_score_mean,revision_score_sd,n_runs_reported,selected_candidate,split_status,sample_level_final_prediction,prediction_rows,official_test_rows,prediction_score_reconciliation,evidence_source,selected_final_model_artifact,paired_ci_or_test,uniform_average_control,standard_oof_stacking_control,same_budget_automl_control,revision_priority
ames,AUROC,0.871945,0.000583,0.871945,0.000583,5,ames_repeated_tabular_ensemble5seed_audit_v1,confirmed_official_split,available,1457,1457,materialized_seed_mean_metric_diff_expected,submitted_prediction_inventory,not_yet_verified,missing,missing,missing,missing,P1_reconcile_prediction_score_vs_reported_mean
bbb_martins,AUROC,0.927779,0.000477,0.927779,0.000477,5,pure_chem_multibackend_endpoint_v1,confirmed_official_split,available,406,406,materialized_seed_mean_metric_diff_expected,submitted_prediction_inventory,not_yet_verified,missing,missing,missing,missing,P1_reconcile_prediction_score_vs_reported_mean
bioavailability_ma,AUROC,0.722248,0.004048,0.722248,0.004048,5,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,confirmed_official_split,recovered_verified_archive,128,128,all_five_seed_metrics_exactly_match_reported_summary,fixed_endpoint_archive_recovery,not_yet_verified,missing,missing,missing,missing,P2_add_paired_statistics_and_controls
caco2_wang,MAE,0.283647,0.00229,0.283647,0.00229,5,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,confirmed_official_split,available,182,182,materialized_seed_mean_metric_diff_expected,submitted_prediction_inventory,not_yet_verified,missing,missing,missing,missing,P1_reconcile_prediction_score_vs_reported_mean
clearance_hepatocyte_az,Spearman,0.55204,0.00965,0.273710115841609,0.020235030266734677,5,clearance_pooled_family_xgb_v1_fp_only_valid_adjusted,confirmed_official_split,leakage_safe_rerun_independently_verified,243,243,five_seed_metrics_and_official_alignment_verified,leakage_safe_rerun_validation,not_yet_verified,missing,missing,missing,missing,P1_replace_submitted_score_and_add_controls
clearance_microsome_az,Spearman,0.642814,0.005773,0.642814,0.005773,5,clearance_microsome_kpgt_ept_seedbag_endpoint_v1,confirmed_official_prediction_sources,available,221,221,materialized_seed_mean_metric_diff_expected,submitted_prediction_inventory,not_yet_verified,missing,missing,missing,missing,P1_reconcile_prediction_score_vs_reported_mean
cyp2c9_substrate_carbonmangels,AUPRC,0.44337,0.023358,0.44337,0.023358,5,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv,confirmed_official_split,recovered_verified_archive,135,135,all_five_seed_metrics_exactly_match_reported_summary,fixed_endpoint_archive_recovery,not_yet_verified,missing,missing,missing,missing,P2_add_paired_statistics_and_controls
cyp2c9_veith,AUPRC,0.790586,0.002608,0.790586,0.002608,5,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,confirmed_official_split,recovered_verified_archive,2419,2419,all_five_seed_metrics_exactly_match_reported_summary,fixed_endpoint_archive_recovery,not_yet_verified,missing,missing,missing,missing,P2_add_paired_statistics_and_controls
cyp2d6_substrate_carbonmangels,AUPRC,0.747531,0.00961,0.747531,0.00961,5,cyp2d6_ap_xl_descriptor_seedbag_endpoint_v1,confirmed_official_split,available,135,135,materialized_seed_mean_metric_diff_expected,submitted_prediction_inventory,not_yet_verified,missing,missing,missing,missing,P1_reconcile_prediction_score_vs_reported_mean
cyp2d6_veith,AUPRC,0.719172,0.005514,0.719167492795628,0.005510258378855377,5,v29_rank_uplift_formula_seedwise,confirmed_official_reproduction_with_caveat,reconstructed_verified_v29_formula,2626,2626,all_five_materialized_seed_metrics_independently_verified,v29_formula_predictions_v3_validation,not_yet_verified,missing,missing,missing,missing,P2_add_paired_statistics_and_controls
