frozen_snapshot_date,Category,Dataset,Size,Split,Metric,Dir.,Trimole-Hybrid,Top-1 ref.,Margin,Rank,Endpoint config,model,model_short,source,leaderboard_rank,score_mean,score_std,comparison_type
15 May 2026,Absorption,TDC.Bioav,640,Scaffold,AUROC,↑,0.722248±0.004048,0.942,-0.219752,Top-21,KPGT chem ExtraTrees,MiniMol,MiniMol,TDC leaderboard,1,0.942,0.002,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Absorption,TDC.Caco2,906,Scaffold,MAE,↓,0.283647±0.002290,0.256,-0.027647,Top-5,ChemBERTa+KPGT ExtraTrees,CaliciBoost,CaliciBoost,TDC leaderboard,1,0.256,0.006,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Absorption,TDC.HIA,578,Scaffold,AUROC,↑,0.994280±0.001736,0.993,0.00128,Top-1,Gated + sidecar rank blend,MiniMol,MiniMol,TDC leaderboard,1,0.993,0.005,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Absorption,TDC.Lipo,"4,200",Scaffold,MAE,↓,0.472895±0.006499,0.456,-0.016895,Top-4,KPGT + tabular seedbag blend,MiniMol,MiniMol,TDC leaderboard,1,0.456,0.008,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Absorption,TDC.Pgp,"1,212",Scaffold,AUROC,↑,0.938363±0.003565,0.938,0.000363,Top-1,Gated K+E logit blend,MapLight + GNN,MapLight+GNN,TDC leaderboard,1,0.938,0.002,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Absorption,TDC.AqSol,"9,982",Scaffold,MAE,↓,0.738443±0.000456,0.741,0.002557,Top-1,FP-XGB + K+E + XL blend,MiniMol,MiniMol,TDC leaderboard,1,0.741,0.013,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Distribution,TDC.BBB,"1,975",Scaffold,AUROC,↑,0.927779±0.000477,0.924,0.003779,Top-1,ExtraTrees chem descriptors,MiniMol,MiniMol,TDC leaderboard,1,0.924,0.003,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Distribution,TDC.PPBR,"1,797",Scaffold,MAE,↓,7.330617±0.098555,7.44,0.109383,Top-1,KPGT seedbag + FP blend,Gradient Boost,GradientBoost,TDC leaderboard,1,7.44,0.024,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Distribution,TDC.VD,"1,130",Scaffold,Spearman,↑,0.660995±0.004668,0.713,-0.052005,Top-3,KPGT+EPT rank blend,MapLight + GNN,MapLight+GNN,TDC leaderboard,1,0.713,0.007,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Metabolism,TDC.CYP2C9-S,666,Scaffold,AUPRC,↑,0.443370±0.023358,0.474,-0.03063,Top-2,XL+KPGT chem XGB,MiniMol,MiniMol,TDC leaderboard,1,0.474,0.025,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Metabolism,TDC.CYP2C9-I,"12,092",Scaffold,AUPRC,↑,0.790586±0.002608,0.859,-0.068414,Top-8,KPGT+EPT chem XGB,MapLight + GNN,MapLight+GNN,TDC leaderboard,1,0.859,0.001,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Metabolism,TDC.CYP2D6-S,664,Scaffold,AUPRC,↑,0.747531±0.009610,0.736,0.011531,Top-1,AP seedbag + XL/descriptor blend,ContextPred,ContextPred,TDC leaderboard,1,0.736,0.024,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Metabolism,TDC.CYP2D6-I,"13,130",Scaffold,AUPRC,↑,0.719172±0.005514,0.79,-0.070828,Top-4,K+E seedbag + sidecar blend,MapLight + GNN,MapLight+GNN,TDC leaderboard,1,0.79,0.001,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Metabolism,TDC.CYP3A4-S,667,Scaffold,AUROC,↑,0.725249±0.004760,0.667,0.058249,Top-1,Family-transfer XGB,CFA,CFA,TDC leaderboard,1,0.667,0.019,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Metabolism,TDC.CYP3A4-I,"12,328",Scaffold,AUPRC,↑,0.884121±0.003206,0.916,-0.031879,Top-4,XL/K+E + tabular blend,MapLight + GNN,MapLight+GNN,TDC leaderboard,1,0.916,0.0,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Excretion,TDC.CL-Hepa,"1,020",Scaffold,Spearman,↑,0.552040±0.009650,0.536,0.01604,Top-1,Family-transfer XGB,CFA,CFA,TDC leaderboard,1,0.536,0.02,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Excretion,TDC.CL-Micro,"1,102",Scaffold,Spearman,↑,0.642814±0.005773,0.63,0.012814,Top-1,KPGT+EPT 5×5 seedbag,MapLight + GNN,MapLight+GNN,TDC leaderboard,1,0.63,0.01,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Excretion,TDC.Half_Life,667,Scaffold,Spearman,↑,0.491390±0.009785,0.576,-0.08461,Top-7,C+K descriptor blend,CFA,CFA,TDC leaderboard,1,0.576,0.025,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Toxicity,TDC.AMES,"7,255",Scaffold,AUROC,↑,0.871945±0.000583,0.871,0.000945,Top-1,XGB tabular ensemble,ZairaChem,ZairaChem,TDC leaderboard,1,0.871,0.002,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Toxicity,TDC.DILI,475,Scaffold,AUROC,↑,0.908609±0.005520,0.956,-0.047391,Top-6,XL/K+E + descriptor blend,MiniMol,MiniMol,TDC leaderboard,1,0.956,0.006,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Toxicity,TDC.hERG,648,Scaffold,AUROC,↑,0.863358±0.002334,0.88,-0.016642,Top-6,EPT chem ExtraTrees,MapLight + GNN,MapLight+GNN,TDC leaderboard,1,0.88,0.002,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
15 May 2026,Toxicity,TDC.LD50,"7,385",Scaffold,MAE,↓,0.603071±0.003837,0.552,-0.051071,Top-5,ChemBERTa+KPGT chem XGB,BaseBoosting KyQVZ6b2,BaseBoosting,TDC leaderboard,1,0.552,0.009,frozen public TDC leaderboard/reference snapshot; not a uniform rerun of all baselines
