metric,seed,task,prediction_file,model,source_family,n_samples,recomputed_test_score,candidate_count,candidate_count_definition,selection_budget,prediction_evidence_note
AUROC,101,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_flaml_matched_v1/final/predictions/ames/seed_101.csv,flaml_automl,matched_budget_automl,1457,0.7227261156474574,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision
AUROC,202,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_flaml_matched_v1/final/predictions/ames/seed_202.csv,flaml_automl,matched_budget_automl,1457,0.7228132526581683,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision
AUROC,303,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_flaml_matched_v1/final/predictions/ames/seed_303.csv,flaml_automl,matched_budget_automl,1457,0.7011249485989544,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision
AUROC,404,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_flaml_matched_v1/final/predictions/ames/seed_404.csv,flaml_automl,matched_budget_automl,1457,0.8196195343554797,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision
AUROC,505,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_flaml_matched_v1/final/predictions/ames/seed_505.csv,flaml_automl,matched_budget_automl,1457,0.6949773835399166,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision
AUROC,101,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/global_single_seed_101.csv,global_single,controlled_three_view_pool,1457,0.7533229552174509,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,202,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/global_single_seed_202.csv,global_single,controlled_three_view_pool,1457,0.755279132154536,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,303,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/global_single_seed_303.csv,global_single,controlled_three_view_pool,1457,0.7566331825569328,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,404,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/global_single_seed_404.csv,global_single,controlled_three_view_pool,1457,0.7542246764181795,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,505,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/global_single_seed_505.csv,global_single,controlled_three_view_pool,1457,0.7495173197047132,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,101,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/oof_stacking_seed_101.csv,oof_stacking,controlled_three_view_pool,1457,0.8247958644187275,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,202,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/oof_stacking_seed_202.csv,oof_stacking,controlled_three_view_pool,1457,0.8278926550353443,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,303,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/oof_stacking_seed_303.csv,oof_stacking,controlled_three_view_pool,1457,0.8246871879222228,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,404,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/oof_stacking_seed_404.csv,oof_stacking,controlled_three_view_pool,1457,0.8282833029822396,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,505,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/oof_stacking_seed_505.csv,oof_stacking,controlled_three_view_pool,1457,0.8251943449059117,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,101,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/per_task_single_seed_101.csv,per_task_single,controlled_three_view_pool,1457,0.7997904795472792,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,202,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/per_task_single_seed_202.csv,per_task_single,controlled_three_view_pool,1457,0.804482171180168,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,303,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/per_task_single_seed_303.csv,per_task_single,controlled_three_view_pool,1457,0.7998159353032173,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,404,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/per_task_single_seed_404.csv,per_task_single,controlled_three_view_pool,1457,0.8086500616812548,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,505,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/per_task_single_seed_505.csv,per_task_single,controlled_three_view_pool,1457,0.803125183575163,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,1,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/manuscript_revision/trimole_prediction_manifest_20260917/predictions/ames/seed_1.csv,trimole_hybrid,submitted_taskwise_system,1457,0.8723511327811393,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived
AUROC,2,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/manuscript_revision/trimole_prediction_manifest_20260917/predictions/ames/seed_2.csv,trimole_hybrid,submitted_taskwise_system,1457,0.8709158197732478,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived
AUROC,3,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/manuscript_revision/trimole_prediction_manifest_20260917/predictions/ames/seed_3.csv,trimole_hybrid,submitted_taskwise_system,1457,0.8719967103330788,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived
AUROC,4,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/manuscript_revision/trimole_prediction_manifest_20260917/predictions/ames/seed_4.csv,trimole_hybrid,submitted_taskwise_system,1457,0.8726233135561692,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived
AUROC,5,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/manuscript_revision/trimole_prediction_manifest_20260917/predictions/ames/seed_5.csv,trimole_hybrid,submitted_taskwise_system,1457,0.8718400595273061,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived
AUROC,101,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/uniform_average_seed_101.csv,uniform_average,controlled_three_view_pool,1457,0.8217245295580489,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,202,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/uniform_average_seed_202.csv,uniform_average,controlled_three_view_pool,1457,0.8239440756623392,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,303,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/uniform_average_seed_303.csv,uniform_average,controlled_three_view_pool,1457,0.8201599796353953,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,404,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/uniform_average_seed_404.csv,uniform_average,controlled_three_view_pool,1457,0.8231637588360844,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,505,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/uniform_average_seed_505.csv,uniform_average,controlled_three_view_pool,1457,0.8228651432375805,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,101,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/validation_top2_average_seed_101.csv,validation_top2_average,controlled_three_view_pool,1457,0.8255164581252815,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,202,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/validation_top2_average_seed_202.csv,validation_top2_average,controlled_three_view_pool,1457,0.8307172648769312,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,303,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/validation_top2_average_seed_303.csv,validation_top2_average,controlled_three_view_pool,1457,0.8277820204037674,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,404,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/validation_top2_average_seed_404.csv,validation_top2_average,controlled_three_view_pool,1457,0.8273884352542639,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,505,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/validation_top2_average_seed_505.csv,validation_top2_average,controlled_three_view_pool,1457,0.8272709471499344,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,101,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/validation_top3_average_seed_101.csv,validation_top3_average,controlled_three_view_pool,1457,0.8217245295580489,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,202,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/validation_top3_average_seed_202.csv,validation_top3_average,controlled_three_view_pool,1457,0.8239440756623392,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,303,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/validation_top3_average_seed_303.csv,validation_top3_average,controlled_three_view_pool,1457,0.8201599796353953,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,404,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/validation_top3_average_seed_404.csv,validation_top3_average,controlled_three_view_pool,1457,0.8231637588360844,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,505,ames,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/ames/validation_top3_average_seed_505.csv,validation_top3_average,controlled_three_view_pool,1457,0.8228651432375805,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,101,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_flaml_matched_v1/final/predictions/bbb_martins/seed_101.csv,flaml_automl,matched_budget_automl,406,0.874296435272045,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision
AUROC,202,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_flaml_matched_v1/final/predictions/bbb_martins/seed_202.csv,flaml_automl,matched_budget_automl,406,0.8509810819262039,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision
AUROC,303,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_flaml_matched_v1/final/predictions/bbb_martins/seed_303.csv,flaml_automl,matched_budget_automl,406,0.8489876485303314,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision
AUROC,404,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_flaml_matched_v1/final/predictions/bbb_martins/seed_404.csv,flaml_automl,matched_budget_automl,406,0.872889305816135,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision
AUROC,505,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_flaml_matched_v1/final/predictions/bbb_martins/seed_505.csv,flaml_automl,matched_budget_automl,406,0.8389032207629767,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision
AUROC,101,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/global_single_seed_101.csv,global_single,controlled_three_view_pool,406,0.7994254221388368,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,202,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/global_single_seed_202.csv,global_single,controlled_three_view_pool,406,0.7955753595997499,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,303,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/global_single_seed_303.csv,global_single,controlled_three_view_pool,406,0.8002267041901188,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,404,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/global_single_seed_404.csv,global_single,controlled_three_view_pool,406,0.8018683552220137,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,505,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/global_single_seed_505.csv,global_single,controlled_three_view_pool,406,0.799816291432145,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,101,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/oof_stacking_seed_101.csv,oof_stacking,controlled_three_view_pool,406,0.8812734521575984,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,202,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/oof_stacking_seed_202.csv,oof_stacking,controlled_three_view_pool,406,0.882895559724828,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,303,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/oof_stacking_seed_303.csv,oof_stacking,controlled_three_view_pool,406,0.8718339587242027,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,404,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/oof_stacking_seed_404.csv,oof_stacking,controlled_three_view_pool,406,0.8777556285178236,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,505,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/oof_stacking_seed_505.csv,oof_stacking,controlled_three_view_pool,406,0.8793581926203878,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,101,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/per_task_single_seed_101.csv,per_task_single,controlled_three_view_pool,406,0.8294637273295811,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
AUROC,202,bbb_martins,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260917_controlled_baselines_v3/final/predictions/bbb_martins/per_task_single_seed_202.csv,per_task_single,controlled_three_view_pool,406,0.8329424640400249,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision
