task,metric,model,source_family,candidate_count,candidate_count_definition,selection_budget,prediction_evidence_note,n_runs,n_samples,score_mean,score_sd
ames,AUROC,flaml_automl,matched_budget_automl,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,1457,0.7322522469599952,0.05042620559863096
ames,AUROC,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1457,0.7537954532103625,0.002690907108270502
ames,AUROC,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1457,0.8261706710528891,0.0017658192666805727
ames,AUROC,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1457,0.8031727662574164,0.003688690416937201
ames,AUROC,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,1457,0.8719454071941882,0.0006515271843632705
ames,AUROC,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1457,0.8223714973858897,0.001470862416996368
ames,AUROC,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1457,0.8277350251620357,0.001881056546990488
ames,AUROC,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,1457,0.8223714973858897,0.001470862416996368
bbb_martins,AUROC,flaml_automl,matched_budget_automl,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,406,0.8572115384615383,0.015647136634551376
bbb_martins,AUROC,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,406,0.7993824265165729,0.002322525146055998
bbb_martins,AUROC,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,406,0.8786233583489681,0.0042621469214914574
bbb_martins,AUROC,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,406,0.8297607879924953,0.004587147172205663
bbb_martins,AUROC,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five-run aggregate scores archived; one five-model ensemble prediction array archived,1,406,0.9281191369606004,
bbb_martins,AUROC,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,406,0.8803900875547217,0.003914975992961659
bbb_martins,AUROC,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,406,0.852677454659162,0.0035538058837494934
bbb_martins,AUROC,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,406,0.8803900875547217,0.003914975992961659
bioavailability_ma,AUROC,flaml_automl,matched_budget_automl,4,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,128,0.6164615896242103,0.03304129397328227
bioavailability_ma,AUROC,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,128,0.66897239773861,0.0102678938061668
bioavailability_ma,AUROC,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,128,0.6883604921849018,0.013823350078457008
bioavailability_ma,AUROC,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,128,0.6217825074825407,0.018949059191732533
bioavailability_ma,AUROC,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,128,0.7222480877951447,0.004048467653750071
bioavailability_ma,AUROC,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,128,0.6893914200199533,0.007906547008958296
bioavailability_ma,AUROC,validation_top2_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,128,0.6515463917525773,0.010979808400781292
bioavailability_ma,AUROC,validation_top3_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,128,0.6893914200199533,0.007906547008958296
caco2_wang,MAE,flaml_automl,matched_budget_automl,3,available estimators/views,60 seconds and <= 30 iterations per task/seed,five seed-level prediction arrays generated in revision,5,182,0.41983060301660763,0.06290400763476
caco2_wang,MAE,global_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,182,0.33397820711686693,0.0
caco2_wang,MAE,oof_stacking,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,182,0.3752002051174601,0.005757744174771844
caco2_wang,MAE,per_task_single,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,182,0.33397820711686693,0.0
caco2_wang,MAE,trimole_hybrid,submitted_taskwise_system,6,formal audited variants,historical validation-only search; six formal variants audited,five seed-level prediction arrays archived,5,182,0.2836473732906736,0.002289674923587889
caco2_wang,MAE,uniform_average,controlled_three_view_pool,3,available estimators/views,fixed three-view pool; fixed linear learner; no adaptive time search,five seed-level prediction arrays generated in revision,5,182,0.6101151665235414,0.0
