task,metric,reference_model,comparator_model,reference_seeds,comparator_seeds,n_samples,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,p_value_bh_fdr,significant_fdr_0_05
ames,AUROC,trimole_hybrid,flaml_automl,1;2;3;4;5,101;202;303;404;505,1457,0.8721925238402946,0.7689224382697919,0.10327008557050266,0.08452511498120631,0.12268595615336235,0.00019998000199980003,10000,0.00040522263563117373,True
ames,AUROC,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,1457,0.8721925238402946,0.7562043509761303,0.1159881728641643,0.09589900622685697,0.136997171260517,0.00019998000199980003,10000,0.00040522263563117373,True
ames,AUROC,trimole_hybrid,oof_stacking,1;2;3;4;5,101;202;303;404;505,1457,0.8721925238402946,0.8287023438876815,0.04349017995261306,0.02974815967503276,0.057595367773431015,0.00019998000199980003,10000,0.00040522263563117373,True
ames,AUROC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,1457,0.8721925238402946,0.8156915154007323,0.056501008439562295,0.03999849662325046,0.07328107073790388,0.00019998000199980003,10000,0.00040522263563117373,True
ames,AUROC,trimole_hybrid,uniform_average,1;2;3;4;5,101;202;303;404;505,1457,0.8721925238402946,0.8234985999334234,0.048693923906871106,0.03455417848697035,0.06313933798813286,0.00019998000199980003,10000,0.00040522263563117373,True
ames,AUROC,trimole_hybrid,validation_top2_average,1;2;3;4;5,101;202;303;404;505,1457,0.8721925238402946,0.8311157453641151,0.04107677847617941,0.026905098306322688,0.055455387347184464,0.00019998000199980003,10000,0.00040522263563117373,True
ames,AUROC,trimole_hybrid,validation_top3_average,1;2;3;4;5,101;202;303;404;505,1457,0.8721925238402946,0.8234985999334234,0.048693923906871106,0.034427947564485605,0.06324314900408938,0.00019998000199980003,10000,0.00040522263563117373,True
bbb_martins,AUROC,trimole_hybrid,flaml_automl,1,101;202;303;404;505,406,0.9281191369606004,0.8733974358974358,0.05472170106316465,0.02755464724942205,0.08552482047647249,0.00019998000199980003,10000,0.00040522263563117373,True
bbb_martins,AUROC,trimole_hybrid,global_single,1,101;202;303;404;505,406,0.9281191369606004,0.8072428080050031,0.1208763289555973,0.08144064865022456,0.16333324588757409,0.00019998000199980003,10000,0.00040522263563117373,True
bbb_martins,AUROC,trimole_hybrid,oof_stacking,1,101;202;303;404;505,406,0.9281191369606004,0.883462320200125,0.04465681676047539,0.017491927825261308,0.07666763432353245,0.00039996000399960006,10000,0.0007511443977553465,True
