task,metric,descriptor,group,threshold_task_median,n_samples,positive_n,prevalence,metric_valid,validity_reason,reference_model,comparator_model,reference_seeds,comparator_seeds,bootstrap_replicates_requested,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,p_value_bh_fdr,significant_fdr_0_05
ames,AUROC,molecular_weight,low_or_equal_median,257.33599999999996,729,445.0,0.6104252400548696,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.8714986548504511,0.8034182623832885,0.06808039246716258,0.04345782102613212,0.09395989032539415,0.00019998000199980003,10000.0,0.0004030366194149816,True
ames,AUROC,molecular_weight,above_median,257.33599999999996,728,425.0,0.5837912087912088,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.8739972820811495,0.826853038245001,0.04714424383614846,0.02553646474613377,0.06889389045002975,0.00019998000199980003,10000.0,0.0004030366194149816,True
ames,AUROC,clogp,low_or_equal_median,2.748000000000001,730,430.0,0.589041095890411,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.8671162790697674,0.8010155038759689,0.06610077519379853,0.04138492008555685,0.09140553612075578,0.00019998000199980003,10000.0,0.0004030366194149816,True
ames,AUROC,clogp,above_median,2.748000000000001,727,440.0,0.6052269601100413,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.877541970224897,0.8293751979727588,0.04816677225213817,0.02604600648073981,0.07019015955559976,0.00019998000199980003,10000.0,0.0004030366194149816,True
ames,AUROC,tpsa,low_or_equal_median,52.04,752,441.0,0.586436170212766,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.9008610947058352,0.8467783683677115,0.05408272633812372,0.03236620563589046,0.07694919354172942,0.00019998000199980003,10000.0,0.0004030366194149816,True
ames,AUROC,tpsa,above_median,52.04,705,429.0,0.6085106382978723,True,valid,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,10000,0.8414327218675045,0.7830267558528428,0.05840596601466175,0.03305379905900681,0.08311729367957911,0.00019998000199980003,10000.0,0.0004030366194149816,True
bbb_martins,AUROC,molecular_weight,low_or_equal_median,285.517,203,188.0,0.9261083743842364,True,valid,trimole_hybrid,per_task_single,1,101;202;303;404;505,10000,0.9120567375886526,0.87322695035461,0.03882978723404262,-0.040608309977198005,0.13794688185665613,0.39536046395360464,10000.0,0.43378495483784957,False
bbb_martins,AUROC,molecular_weight,above_median,285.517,203,140.0,0.6896551724137931,True,valid,trimole_hybrid,per_task_single,1,101;202;303;404;505,10000,0.9242630385487529,0.8287414965986394,0.09552154195011353,0.0544562597172559,0.13879888655400363,0.00019998000199980003,10000.0,0.0004030366194149816,True
bbb_martins,AUROC,clogp,low_or_equal_median,2.04185,203,158.0,0.7783251231527094,True,valid,trimole_hybrid,per_task_single,1,101;202;303;404;505,10000,0.9458509142053446,0.8733473980309423,0.07250351617440232,0.030519928540875384,0.11838666866180855,0.00019998000199980003,10000.0,0.0004030366194149816,True
bbb_martins,AUROC,clogp,above_median,2.04185,203,170.0,0.8374384236453202,True,valid,trimole_hybrid,per_task_single,1,101;202;303;404;505,10000,0.9080213903743315,0.8077540106951873,0.10026737967914423,0.036091588970509014,0.16978634180945096,0.001999800019998,10000.0,0.003588682227667644,True
bbb_martins,AUROC,tpsa,low_or_equal_median,52.625,203,193.0,0.9507389162561576,True,valid,trimole_hybrid,per_task_single,1,101;202;303;404;505,10000,0.8321243523316062,0.6093264248704664,0.2227979274611398,0.02499716553287984,0.3922834717365967,0.0256,9999.0,0.037262222222222224,True
bbb_martins,AUROC,tpsa,above_median,52.625,203,135.0,0.6650246305418719,True,valid,trimole_hybrid,per_task_single,1,101;202;303;404;505,10000,0.9133986928104575,0.839760348583878,0.07363834422657944,0.0340869174294019,0.1145416652050117,0.00039996000399960006,10000.0,0.0007820113511036956,True
bioavailability_ma,AUROC,molecular_weight,low_or_equal_median,347.82750000000004,64,56.0,0.875,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.6718750000000001,0.4799107142857143,0.1919642857142858,0.011996176992179542,0.37966101694915244,0.039003900390039,9998.0,0.053224072407240725,False
bioavailability_ma,AUROC,molecular_weight,above_median,347.82750000000004,64,41.0,0.640625,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.6839872746553552,0.6405090137857901,0.04347826086956519,-0.09072638615361311,0.18326553897421002,0.5577442255774423,10000.0,0.5798769329416265,False
bioavailability_ma,AUROC,clogp,low_or_equal_median,2.8474500000000016,64,49.0,0.765625,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.6571428571428571,0.5238095238095238,0.1333333333333333,-0.021490743885869447,0.29349186483103873,0.09199080091990801,10000.0,0.11699800893697038,False
bioavailability_ma,AUROC,clogp,above_median,2.8474500000000016,64,48.0,0.75,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.8033854166666666,0.7161458333333333,0.08723958333333337,-0.03880892782644964,0.2180817031841749,0.1827817218278172,10000.0,0.21767641417676412,False
bioavailability_ma,AUROC,tpsa,low_or_equal_median,65.49000000000001,64,54.0,0.84375,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.6796296296296296,0.6296296296296297,0.04999999999999993,-0.10919699872286082,0.2208413461538461,0.5625437456254374,10000.0,0.5802616588734827,False
bioavailability_ma,AUROC,tpsa,above_median,65.49000000000001,64,43.0,0.671875,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.7209302325581396,0.606312292358804,0.11461794019933558,-0.025974198124251262,0.2528510551948051,0.10738926107389261,10000.0,0.13398088762552318,False
caco2_wang,MAE,molecular_weight,low_or_equal_median,448.38000000000017,92,,,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.27408864574551794,0.34586356583815875,0.0717749200926408,0.020690985524235716,0.12270661605107842,0.006199380061993801,10000.0,0.010026157878039357,True
caco2_wang,MAE,molecular_weight,above_median,448.38000000000017,90,,,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.290646814332411,0.32182872931287976,0.03118191498046874,-0.019209244116429637,0.0828103428959384,0.2273772622737726,10000.0,0.26359664918463904,False
caco2_wang,MAE,clogp,low_or_equal_median,2.167,91,,,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.2942302148039095,0.3081401528589941,0.013909938055084614,-0.030420171817036754,0.05724886720083549,0.5301469853014699,10000.0,0.5555940405959404,False
caco2_wang,MAE,clogp,above_median,2.167,91,,,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.27032328737746025,0.3598162613747398,0.08949297399727957,0.034076164308064046,0.14391790632582277,0.0017998200179982,10000.0,0.0032746725327467254,True
caco2_wang,MAE,tpsa,low_or_equal_median,112.28,91,,,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.28552941699044365,0.33403332213268916,0.04850390514224551,-0.001093058573900046,0.09650438098749523,0.055394460553944605,10000.0,0.07404769727108922,False
caco2_wang,MAE,tpsa,above_median,112.28,91,,,True,valid,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,10000,0.2790240851909261,0.3339230921010447,0.05489900691011862,0.004079005906948877,0.10766257252804752,0.034596540345965404,10000.0,0.04770680826654177,True
