task,metric,method,seed,candidate_count,selected_candidates,test_score,prediction_file
ames,AUROC,global_single,101,9,chem_fp_chemberta_kpgt_ept_xgb,0.8458986860913666,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/global_single_seed_101.csv
ames,AUROC,per_task_single,101,9,chem_fp_chemberta_kpgt_xgb,0.8551077953357222,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/per_task_single_seed_101.csv
ames,AUROC,validation_top2_average,101,9,chem_fp_chemberta_kpgt_xgb;chem_fp_xgb,0.8494370361667548,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/validation_top2_average_seed_101.csv
ames,AUROC,validation_top3_average,101,9,chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;chem_fp_chemberta_kpgt_ept_xgb,0.85859131762909,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/validation_top3_average_seed_101.csv
ames,AUROC,uniform_candidate_average,101,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.8347373161800702,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/uniform_candidate_average_seed_101.csv
ames,AUROC,validation_stacking,101,9,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear,0.8464234662907048,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/validation_stacking_seed_101.csv
ames,AUROC,global_single,202,9,chem_fp_chemberta_kpgt_ept_xgb,0.8441246157159921,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/global_single_seed_202.csv
ames,AUROC,per_task_single,202,9,chem_fp_chemberta_kpgt_xgb,0.8582975973682665,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/per_task_single_seed_202.csv
ames,AUROC,validation_top2_average,202,9,chem_fp_chemberta_kpgt_xgb;chem_fp_xgb,0.8518964538173843,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/validation_top2_average_seed_202.csv
ames,AUROC,validation_top3_average,202,9,chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;chem_fp_chemberta_kpgt_ept_xgb,0.8590025259942432,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_expanded_candidate_pool_controls_v4_threshold_aligned/score/predictions/ames/validation_top3_average_seed_202.csv
