task,metric,method,candidate_count,score_mean,score_std,n_seeds,selected_candidates
ames,AUROC,global_single,9,0.8452387945720495,0.0012877146454772232,5,chem_fp_chemberta_kpgt_ept_xgb
ames,AUROC,per_task_single,9,0.855240948520629,0.0018591938264062293,5,chem_fp_chemberta_kpgt_xgb
ames,AUROC,uniform_candidate_average,9,0.8350964381523038,0.0019028588001904056,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
ames,AUROC,validation_stacking,9,0.8427644950948716,0.003378586193416546,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
ames,AUROC,validation_top2_average,9,0.8504176702108911,0.0009227724772212034,5,chem_fp_chemberta_kpgt_xgb;chem_fp_xgb
ames,AUROC,validation_top3_average,9,0.8585404061172139,0.0003760027261219654,5,chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;chem_fp_chemberta_kpgt_ept_xgb
bbb_martins,AUROC,global_single,9,0.9048076923076923,0.002087329860214646,5,chem_fp_chemberta_kpgt_ept_xgb
bbb_martins,AUROC,per_task_single,9,0.9048076923076923,0.002087329860214646,5,chem_fp_chemberta_kpgt_ept_xgb
bbb_martins,AUROC,uniform_candidate_average,9,0.8991869918699187,0.007105246913409206,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
bbb_martins,AUROC,validation_stacking,9,0.840134459036898,0.02173006540716878,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
bbb_martins,AUROC,validation_top2_average,9,0.9196060037523452,0.003262576415003038,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb
bbb_martins,AUROC,validation_top3_average,9,0.9083802376485304,0.002866167530928421,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb
bioavailability_ma,AUROC,global_single,9,0.646890588626538,0.002108529096660769,5,chem_fp_chemberta_kpgt_ept_xgb
bioavailability_ma,AUROC,per_task_single,9,0.6442966411706019,0.008940784842783621,5,chem_fp_chemberta_kpgt_xgb
bioavailability_ma,AUROC,uniform_candidate_average,9,0.6833388759561024,0.027236631010544184,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
bioavailability_ma,AUROC,validation_stacking,9,0.6217492517459261,0.04123684520976539,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
bioavailability_ma,AUROC,validation_top2_average,9,0.6464250083139341,0.004610449438143887,5,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb
bioavailability_ma,AUROC,validation_top3_average,9,0.6678417026937147,0.007657489916582094,5,chem_fp_chemberta_kpgt_xgb;chem_fp_chemberta_kpgt_ept_xgb;chem_fp_xgb
caco2_wang,MAE,global_single,9,0.36530819659340663,0.022378046304083778,5,chem_fp_chemberta_kpgt_ept_xgb
caco2_wang,MAE,per_task_single,9,0.36530819659340663,0.022378046304083778,5,chem_fp_chemberta_kpgt_ept_xgb
caco2_wang,MAE,uniform_candidate_average,9,0.34993966710622715,0.0011630734577875337,5,chem_fp_chemberta_kpgt_ept_xgb;chem_fp_chemberta_kpgt_xgb;chem_fp_xgb;deep_chemberta_kpgt_ept_ridge_linear;deep_chemberta_kpgt_ridge_linear;deep_chemberta_ridge_linear;deep_ept_ridge_linear;deep_kpgt_ept_ridge_linear;deep_kpgt_ridge_linear
