task,metric,reference_model,comparator_model,reference_seeds,comparator_seeds,n_samples,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,p_value_bh_fdr,significant_fdr_0_05
ames,AUROC,trimole_hybrid,global_single,1;2;3;4;5,101;202;303;404;505,1457,0.8721925238402946,0.8474221151775049,0.024770408662789678,0.011875025982387238,0.03770657274538234,0.00019998000199980003,10000,0.0006285085777136572,True
ames,AUROC,trimole_hybrid,per_task_single,1;2;3;4;5,101;202;303;404;505,1457,0.8721925238402946,0.8578100217352993,0.014382502104995254,0.003125191109770403,0.025349788559193707,0.012598740125987402,10000,0.025585133794312875,True
ames,AUROC,trimole_hybrid,uniform_candidate_average,1;2;3;4;5,101;202;303;404;505,1457,0.8721925238402946,0.8407938279582525,0.03139869588204203,0.01914493431243389,0.04389447790802026,0.00019998000199980003,10000,0.0006285085777136572,True
ames,AUROC,trimole_hybrid,validation_stacking,1;2;3;4;5,101;202;303;404;505,1457,0.8721925238402946,0.8485500009790675,0.023642522861227033,0.012563369679594883,0.03472793768326974,0.00019998000199980003,10000,0.0006285085777136572,True
ames,AUROC,trimole_hybrid,validation_top2_average,1;2;3;4;5,101;202;303;404;505,1457,0.8721925238402946,0.8514049619142728,0.020787561926021714,0.009918941283599573,0.03128141668547568,0.00019998000199980003,10000,0.0006285085777136572,True
ames,AUROC,trimole_hybrid,validation_top3_average,1;2;3;4;5,101;202;303;404;505,1457,0.8721925238402946,0.8593236601460768,0.012868863694217803,0.003207621209476011,0.02261416708696827,0.010198980101989802,10000,0.021369291642264348,True
bbb_martins,AUROC,trimole_hybrid,global_single,1,101;202;303;404;505,406,0.9281191369606004,0.9062304565353347,0.021888680425265705,0.000997970184134381,0.044489643216834296,0.036396360363963605,10000,0.0644095590440956,False
bbb_martins,AUROC,trimole_hybrid,per_task_single,1,101;202;303;404;505,406,0.9281191369606004,0.9062304565353347,0.021888680425265705,0.0012116139193869002,0.04484271122264778,0.0365963403659634,10000,0.0644095590440956,False
bbb_martins,AUROC,trimole_hybrid,uniform_candidate_average,1,101;202;303;404;505,406,0.9281191369606004,0.9044715447154472,0.023647592245153226,0.005570029412078987,0.04354680869685935,0.009999000099990002,10000,0.021288193761269034,True
bbb_martins,AUROC,trimole_hybrid,validation_stacking,1,101;202;303;404;505,406,0.9281191369606004,0.8677689180737961,0.06035021888680436,0.02304572263236746,0.10169207932957097,0.0007999200079992001,10000,0.0022465838522530727,True
bbb_martins,AUROC,trimole_hybrid,validation_top2_average,1,101;202;303;404;505,406,0.9281191369606004,0.9215134459036897,0.0066056910569107785,-0.007718795995309546,0.021981550262634725,0.3945605439456054,10000,0.4867475869235506,False
bbb_martins,AUROC,trimole_hybrid,validation_top3_average,1,101;202;303;404;505,406,0.9281191369606004,0.908966541588493,0.01915259537210745,-0.001726667447313828,0.04334302829447868,0.073992600739926,10000,0.11226463560540496,False
bioavailability_ma,AUROC,trimole_hybrid,global_single,101;202;303;404;505,101;202;303;404;505,128,0.7236448287329564,0.6484868639840372,0.07515796474891923,0.0006795413477891622,0.15444335583572116,0.048795120487951205,10000,0.08153108739758937,False
bioavailability_ma,AUROC,trimole_hybrid,per_task_single,101;202;303;404;505,101;202;303;404;505,128,0.7236448287329564,0.6425008313934153,0.08114399733954114,0.004999709012304518,0.16283611751152072,0.035596440355964404,10000,0.0644095590440956,False
bioavailability_ma,AUROC,trimole_hybrid,uniform_candidate_average,101;202;303;404;505,101;202;303;404;505,128,0.7236448287329564,0.6857332889923512,0.03791153974060524,-0.038127341719679124,0.11930410018258311,0.34976502349765026,10000,0.43555644435556445,False
bioavailability_ma,AUROC,trimole_hybrid,validation_stacking,101;202;303;404;505,101;202;303;404;505,128,0.7236448287329564,0.6278683072830064,0.09577652144995008,0.017474223317879175,0.1775919467900181,0.015198480151984802,10000,0.02994327432928349,True
bioavailability_ma,AUROC,trimole_hybrid,validation_top2_average,101;202;303;404;505,101;202;303;404;505,128,0.7236448287329564,0.6444961755902894,0.07914865314266706,0.0034774094664315326,0.16022627444394694,0.03899610038996101,10000,0.06685045781136173,False
bioavailability_ma,AUROC,trimole_hybrid,validation_top3_average,101;202;303;404;505,101;202;303;404;505,128,0.7236448287329564,0.6677751912204855,0.05586963751247098,-0.008797477324263149,0.12484381061121737,0.09519048095190481,10000,0.13829921355690517,False
caco2_wang,MAE,trimole_hybrid,global_single,101;202;303;404;505,101;202;303;404;505,182,0.2822767510906849,0.3611222047252748,0.07884545363458989,0.045045901204134084,0.11283918018179093,0.00019998000199980003,10000,0.0006285085777136572,True
