task,metric,model,seed,candidate_count,selection_budget,selected_recipe,selected_automl_config,test_score,prediction_file
ames,AUROC,global_single,101,9,0,,,0.8458986860913666,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/global_single_seed_101.csv
ames,AUROC,per_task_single,101,9,0,,,0.8551077953357222,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/per_task_single_seed_101.csv
ames,AUROC,validation_top2_average,101,9,0,,,0.8494370361667548,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/validation_top2_average_seed_101.csv
ames,AUROC,validation_top3_average,101,9,0,,,0.85859131762909,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/validation_top3_average_seed_101.csv
ames,AUROC,uniform_candidate_average,101,9,0,,,0.8347373161800702,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/uniform_candidate_average_seed_101.csv
ames,AUROC,validation_stacking,101,9,0,,,0.8464234662907048,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/validation_stacking_seed_101.csv
ames,AUROC,common_pool_taskwise_selector,101,9,6,validation_stacking,,0.8464234662907048,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/common_pool_taskwise_selector_seed_101.csv
ames,AUROC,common_pool_automl,101,9,6,,5.0,0.8452867688813175,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/common_pool_automl_seed_101.csv
ames,AUROC,global_single,202,9,0,,,0.8441246157159921,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/global_single_seed_202.csv
ames,AUROC,per_task_single,202,9,0,,,0.8582975973682665,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/per_task_single_seed_202.csv
ames,AUROC,validation_top2_average,202,9,0,,,0.8518964538173843,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/validation_top2_average_seed_202.csv
ames,AUROC,validation_top3_average,202,9,0,,,0.8590025259942432,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/validation_top3_average_seed_202.csv
ames,AUROC,uniform_candidate_average,202,9,0,,,0.8334410307623019,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/uniform_candidate_average_seed_202.csv
ames,AUROC,validation_stacking,202,9,0,,,0.8421527736983297,/mnt/data/projects/trimole_hybrid_revision_20260915/results_strict/revision_20260918_common_pool_fair_v1/score/predictions/ames/validation_stacking_seed_202.csv
