task,metric,model,score_mean,score_sd,n_seeds
ames,AUROC,common_pool_automl,0.8340445279915409,0.0093848029442196,5
ames,AUROC,common_pool_taskwise_selector,0.8427644950948716,0.0033785861934165,5
ames,AUROC,global_single,0.8452387945720495,0.0012877146454772,5
ames,AUROC,per_task_single,0.855240948520629,0.0018591938264062,5
ames,AUROC,uniform_candidate_average,0.8350964381523038,0.0019028588001904,5
ames,AUROC,validation_stacking,0.8427644950948716,0.0033785861934165,5
ames,AUROC,validation_top2_average,0.8504176702108911,0.0009227724772212,5
ames,AUROC,validation_top3_average,0.8585404061172139,0.0003760027261219,5
bbb_martins,AUROC,common_pool_automl,0.8808825828642901,0.0059230563787762,5
bbb_martins,AUROC,common_pool_taskwise_selector,0.9196060037523452,0.003262576415003,5
bbb_martins,AUROC,global_single,0.9048076923076924,0.0020873298602146,5
bbb_martins,AUROC,per_task_single,0.9048076923076924,0.0020873298602146,5
bbb_martins,AUROC,uniform_candidate_average,0.8991869918699187,0.0071052469134092,5
bbb_martins,AUROC,validation_stacking,0.840134459036898,0.0217300654071687,5
bbb_martins,AUROC,validation_top2_average,0.9196060037523452,0.003262576415003,5
bbb_martins,AUROC,validation_top3_average,0.9083802376485304,0.0028661675309284,5
bioavailability_ma,AUROC,common_pool_automl,0.6533422015297639,0.024928052966663,5
bioavailability_ma,AUROC,common_pool_taskwise_selector,0.6442966411706019,0.0089407848427836,5
bioavailability_ma,AUROC,global_single,0.646890588626538,0.0021085290966607,5
bioavailability_ma,AUROC,per_task_single,0.6442966411706019,0.0089407848427836,5
bioavailability_ma,AUROC,uniform_candidate_average,0.6833388759561024,0.0272366310105441,5
bioavailability_ma,AUROC,validation_stacking,0.6217492517459261,0.0412368452097653,5
bioavailability_ma,AUROC,validation_top2_average,0.6464250083139341,0.0046104494381438,5
bioavailability_ma,AUROC,validation_top3_average,0.6678417026937147,0.007657489916582,5
caco2_wang,MAE,common_pool_automl,0.3382228551085876,0.0291250669603806,5
caco2_wang,MAE,common_pool_taskwise_selector,0.3370289362794122,0.0254680038251857,5
caco2_wang,MAE,global_single,0.3653081965934066,0.0223780463040837,5
caco2_wang,MAE,per_task_single,0.3653081965934066,0.0223780463040837,5
caco2_wang,MAE,uniform_candidate_average,0.3499396671062271,0.0011630734577875,5
caco2_wang,MAE,validation_stacking,0.3370289362794122,0.0254680038251857,5
caco2_wang,MAE,validation_top2_average,0.3243590898351648,0.0031280464973795,5
caco2_wang,MAE,validation_top3_average,0.2999045104029304,0.0038520080165084,5
clearance_hepatocyte_az,Spearman,common_pool_automl,0.46894791588643,0.0250071059596603,5
clearance_hepatocyte_az,Spearman,common_pool_taskwise_selector,0.350210878084986,0.0042751599625234,5
clearance_hepatocyte_az,Spearman,global_single,0.2003195287770167,0.0182003793867156,5
clearance_hepatocyte_az,Spearman,per_task_single,0.2003195287770167,0.0182003793867156,5
clearance_hepatocyte_az,Spearman,uniform_candidate_average,0.4954485879333951,0.0033738443054067,5
clearance_hepatocyte_az,Spearman,validation_stacking,0.3921391845748187,0.0205529922934059,5
clearance_hepatocyte_az,Spearman,validation_top2_average,0.2417091098565089,0.0063055380295413,5
clearance_hepatocyte_az,Spearman,validation_top3_average,0.350210878084986,0.0042751599625234,5
clearance_microsome_az,Spearman,common_pool_automl,0.5579562002499834,0.0088356748435732,5
clearance_microsome_az,Spearman,common_pool_taskwise_selector,0.5599884075637653,0.0044284207980117,5
clearance_microsome_az,Spearman,global_single,0.5954577077913342,0.010876724540037,5
clearance_microsome_az,Spearman,per_task_single,0.4382440419419504,5.235539490164815e-05,5
clearance_microsome_az,Spearman,uniform_candidate_average,0.6280718071814794,0.0020332874657749,5
clearance_microsome_az,Spearman,validation_stacking,0.4533023608485855,0.0098640657758016,5
clearance_microsome_az,Spearman,validation_top2_average,0.4586317887267371,0.0002261620970562,5
clearance_microsome_az,Spearman,validation_top3_average,0.5599884075637653,0.0044284207980117,5
cyp2c9_substrate_carbonmangels,AUPRC,common_pool_automl,0.3650175310866506,0.0308837493412952,5
cyp2c9_substrate_carbonmangels,AUPRC,common_pool_taskwise_selector,0.4376172214588912,0.0212217889284661,5
cyp2c9_substrate_carbonmangels,AUPRC,global_single,0.4317527297592513,0.0189350356041419,5
cyp2c9_substrate_carbonmangels,AUPRC,per_task_single,0.4317527297592513,0.0189350356041419,5
cyp2c9_substrate_carbonmangels,AUPRC,uniform_candidate_average,0.3946196406082704,0.0080953717078754,5
cyp2c9_substrate_carbonmangels,AUPRC,validation_stacking,0.3801175000900557,0.0328652479971146,5
cyp2c9_substrate_carbonmangels,AUPRC,validation_top2_average,0.4376172214588912,0.0212217889284661,5
cyp2c9_substrate_carbonmangels,AUPRC,validation_top3_average,0.4347892129601768,0.0137085813617477,5
cyp2c9_veith,AUPRC,common_pool_automl,0.7832190080812643,0.0020446505886085,5
cyp2c9_veith,AUPRC,common_pool_taskwise_selector,0.7756622605240401,0.0018080835394738,5
cyp2c9_veith,AUPRC,global_single,0.7514518581428009,0.0026764089122952,5
cyp2c9_veith,AUPRC,per_task_single,0.7710219942765796,0.0023590094440746,5
cyp2c9_veith,AUPRC,uniform_candidate_average,0.7629810563664704,0.0054414427048983,5
cyp2c9_veith,AUPRC,validation_stacking,0.782104904559692,0.0027236849031379,5
cyp2c9_veith,AUPRC,validation_top2_average,0.7756622605240401,0.0018080835394738,5
cyp2c9_veith,AUPRC,validation_top3_average,0.7759180821648909,0.0016025463689493,5
cyp2d6_substrate_carbonmangels,AUPRC,common_pool_automl,0.6432959409946594,0.0477881453220351,5
cyp2d6_substrate_carbonmangels,AUPRC,common_pool_taskwise_selector,0.692694880383127,0.0094365098272284,5
cyp2d6_substrate_carbonmangels,AUPRC,global_single,0.6895371829847046,0.0098959213690674,5
cyp2d6_substrate_carbonmangels,AUPRC,per_task_single,0.7021059512272265,0.0133283670343022,5
cyp2d6_substrate_carbonmangels,AUPRC,uniform_candidate_average,0.6816073130129165,0.026984211336672,5
cyp2d6_substrate_carbonmangels,AUPRC,validation_stacking,0.5904294195735492,0.0648471753600396,5
cyp2d6_substrate_carbonmangels,AUPRC,validation_top2_average,0.692694880383127,0.0094365098272284,5
cyp2d6_substrate_carbonmangels,AUPRC,validation_top3_average,0.6801122736130929,0.010700225219501,5
cyp2d6_veith,AUPRC,common_pool_automl,0.7065655674088476,0.0014578563810739,5
cyp2d6_veith,AUPRC,common_pool_taskwise_selector,0.7064073415797619,0.0020308171092542,5
cyp2d6_veith,AUPRC,global_single,0.6883401136054271,0.0035028651929721,5
cyp2d6_veith,AUPRC,per_task_single,0.6961381524649516,0.0036931380719961,5
cyp2d6_veith,AUPRC,uniform_candidate_average,0.6552347763543536,0.006963760111282,5
cyp2d6_veith,AUPRC,validation_stacking,0.7064073415797619,0.0020308171092542,5
cyp2d6_veith,AUPRC,validation_top2_average,0.7127322636658388,0.0019256622535536,5
cyp2d6_veith,AUPRC,validation_top3_average,0.7093530034216111,0.0009934180028827,5
cyp3a4_substrate_carbonmangels,AUROC,common_pool_automl,0.676627486437613,0.0241781222060953,5
cyp3a4_substrate_carbonmangels,AUROC,common_pool_taskwise_selector,0.6705470162748643,0.0067111360033017,5
cyp3a4_substrate_carbonmangels,AUROC,global_single,0.6683092224231464,0.0057907669069584,5
cyp3a4_substrate_carbonmangels,AUROC,per_task_single,0.6705470162748643,0.0067111360033017,5
cyp3a4_substrate_carbonmangels,AUROC,uniform_candidate_average,0.6697106690777577,0.003137803470639,5
cyp3a4_substrate_carbonmangels,AUROC,validation_stacking,0.6627486437613019,0.0327114009091382,5
cyp3a4_substrate_carbonmangels,AUROC,validation_top2_average,0.6862115732368897,0.0054914177642397,5
cyp3a4_substrate_carbonmangels,AUROC,validation_top3_average,0.68250452079566,0.0036328468090358,5
cyp3a4_veith,AUPRC,common_pool_automl,0.8736710314736467,0.0011821270916465,5
cyp3a4_veith,AUPRC,common_pool_taskwise_selector,0.8685760623303892,0.001656251254923,5
cyp3a4_veith,AUPRC,global_single,0.8598983556856856,0.0010748184248036,5
cyp3a4_veith,AUPRC,per_task_single,0.8612921926155332,0.0011695924276257,5
cyp3a4_veith,AUPRC,uniform_candidate_average,0.8561207581637511,0.0031083691098526,5
cyp3a4_veith,AUPRC,validation_stacking,0.873032787881186,0.0014215834656253,5
cyp3a4_veith,AUPRC,validation_top2_average,0.8681867835707024,0.001378951825434,5
cyp3a4_veith,AUPRC,validation_top3_average,0.8685760623303892,0.001656251254923,5
dili,AUROC,common_pool_automl,0.9014782608695652,0.0143003165986077,5
dili,AUROC,common_pool_taskwise_selector,0.8957391304347826,0.0113101991545213,5
dili,AUROC,global_single,0.903304347826087,0.0100922025338811,5
dili,AUROC,per_task_single,0.8666086956521738,0.0067314121299144,5
dili,AUROC,uniform_candidate_average,0.8957391304347826,0.0113101991545213,5
dili,AUROC,validation_stacking,0.8843478260869565,0.024769256509894,5
dili,AUROC,validation_top2_average,0.9048695652173914,0.0052210132355749,5
dili,AUROC,validation_top3_average,0.9053043478260868,0.0030651403012199,5
half_life_obach,Spearman,common_pool_automl,0.0982245050326985,0.0117191645263867,5
half_life_obach,Spearman,common_pool_taskwise_selector,0.4018744224350543,0.0322303826400825,5
half_life_obach,Spearman,global_single,0.3850970831788019,0.0292139793668846,5
half_life_obach,Spearman,per_task_single,0.4018744224350543,0.0322303826400825,5
half_life_obach,Spearman,uniform_candidate_average,0.2558622825218398,0.0059675644119205,5
half_life_obach,Spearman,validation_stacking,0.0635799552287831,0.053145637511546,5
half_life_obach,Spearman,validation_top2_average,0.4050159356735118,0.0276575284235238,5
half_life_obach,Spearman,validation_top3_average,0.4171807418560895,0.0131255902745837,5
herg,AUROC,common_pool_automl,0.7941973490427099,0.0160856163346372,5
herg,AUROC,common_pool_taskwise_selector,0.8164948453608247,0.0092138393635446,5
herg,AUROC,global_single,0.8164948453608247,0.0092138393635446,5
