task,metric,reference_model,comparator_model,reference_seeds,comparator_seeds,reference_seed_count,comparator_seed_count,paired_seed_ids,n_samples,reference_score,comparator_score,improvement,ci95_lower,ci95_upper,p_value_two_sided,bootstrap_replicates_valid,resampling_mode,seed_resampling,reference_seed_uncertainty_available,comparator_seed_uncertainty_available,p_value_bh_fdr,significant_fdr_0_05
ames,AUROC,common_pool_taskwise_selector,common_pool_automl,101;202;303;404;505,101;202;303;404;505,5,5,True,1457,0.8485500009790675,0.8465174567741682,0.0020325442048992,-0.0074634807479708,0.0159596916111811,0.5703429657034297,10000,hierarchical_seed_and_sample,paired,True,True,0.924555965456086,False
ames,AUROC,common_pool_taskwise_selector,global_single,101;202;303;404;505,101;202;303;404;505,5,5,True,1457,0.8485500009790675,0.8474221151775049,0.0011278858015626,-0.0148421870580843,0.0154978127299356,0.958104189581042,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
ames,AUROC,common_pool_taskwise_selector,per_task_single,101;202;303;404;505,101;202;303;404;505,5,5,True,1457,0.8485500009790675,0.8578100217352993,-0.0092600207562317,-0.0207954170418083,0.0010736586672451,0.0757924207579242,10000,hierarchical_seed_and_sample,paired,True,True,0.2202270339003835,False
ames,AUROC,common_pool_taskwise_selector,uniform_candidate_average,101;202;303;404;505,101;202;303;404;505,5,5,True,1457,0.8485500009790675,0.8407938279582525,0.0077561730208149,-0.0032500039782766,0.0186920079399131,0.1813818618138186,10000,hierarchical_seed_and_sample,paired,True,True,0.4734374020225096,False
ames,AUROC,common_pool_taskwise_selector,validation_stacking,101;202;303;404;505,101;202;303;404;505,5,5,True,1457,0.8485500009790675,0.8485500009790675,0.0,0.0,0.0,1.0,10000,hierarchical_seed_and_sample,paired,True,True,1.0,False
ames,AUROC,common_pool_taskwise_selector,validation_top2_average,101;202;303;404;505,101;202;303;404;505,5,5,True,1457,0.8485500009790675,0.8514049619142728,-0.0028549609352053,-0.0117530532855657,0.0037373400626997,0.3057694230576942,10000,hierarchical_seed_and_sample,paired,True,True,0.6522197095358957,False
ames,AUROC,common_pool_taskwise_selector,validation_top3_average,101;202;303;404;505,101;202;303;404;505,5,5,True,1457,0.8485500009790675,0.8593236601460768,-0.0107736591670092,-0.0212621462603954,-0.0030567748513364,0.0071992800719928,10000,hierarchical_seed_and_sample,paired,True,True,0.036956304369563,True
bbb_martins,AUROC,common_pool_taskwise_selector,common_pool_automl,101;202;303;404;505,101;202;303;404;505,5,5,True,406,0.9215134459036896,0.8925695747342088,0.0289438711694808,0.01215403136159,0.0527396975419401,0.000999900009999,10000,hierarchical_seed_and_sample,paired,True,True,0.0061593840615938,True
bbb_martins,AUROC,common_pool_taskwise_selector,global_single,101;202;303;404;505,101;202;303;404;505,5,5,True,406,0.9215134459036896,0.9062304565353348,0.0152829893683549,0.0030862339562947,0.0300973849992431,0.008999100089991,10000,hierarchical_seed_and_sample,paired,True,True,0.0433081691830816,True
bbb_martins,AUROC,common_pool_taskwise_selector,per_task_single,101;202;303;404;505,101;202;303;404;505,5,5,True,406,0.9215134459036896,0.9062304565353348,0.0152829893683549,0.0030583983903722,0.029917856725202,0.0095990400959904,10000,hierarchical_seed_and_sample,paired,True,True,0.0434780051406624,True
