task,metric,seed,candidate_families_shared,validation_options_each,meta_oof_folds,selector_meta_cv_fits,automl_meta_cv_fits,selector_meta_final_fits,automl_meta_final_fits,base_family_training_walltime_available,end_to_end_compute_matched
ames,AUROC,101,9,6,5,5,30,1,1,False,False
ames,AUROC,202,9,6,5,5,30,1,1,False,False
ames,AUROC,303,9,6,5,5,30,1,1,False,False
ames,AUROC,404,9,6,5,5,30,1,1,False,False
ames,AUROC,505,9,6,5,5,30,1,1,False,False
bbb_martins,AUROC,101,9,6,5,5,30,0,1,False,False
bbb_martins,AUROC,202,9,6,5,5,30,0,1,False,False
bbb_martins,AUROC,303,9,6,5,5,30,0,1,False,False
bbb_martins,AUROC,404,9,6,5,5,30,0,1,False,False
bbb_martins,AUROC,505,9,6,5,5,30,0,1,False,False
bioavailability_ma,AUROC,101,9,6,5,5,30,0,1,False,False
bioavailability_ma,AUROC,202,9,6,5,5,30,0,1,False,False
bioavailability_ma,AUROC,303,9,6,5,5,30,0,1,False,False
bioavailability_ma,AUROC,404,9,6,5,5,30,0,1,False,False
bioavailability_ma,AUROC,505,9,6,5,5,30,0,1,False,False
caco2_wang,MAE,101,9,6,5,5,30,1,1,False,False
caco2_wang,MAE,202,9,6,5,5,30,1,1,False,False
caco2_wang,MAE,303,9,6,5,5,30,1,1,False,False
caco2_wang,MAE,404,9,6,5,5,30,1,1,False,False
caco2_wang,MAE,505,9,6,5,5,30,1,1,False,False
clearance_hepatocyte_az,Spearman,101,9,6,5,5,30,0,1,False,False
clearance_hepatocyte_az,Spearman,202,9,6,5,5,30,0,1,False,False
clearance_hepatocyte_az,Spearman,303,9,6,5,5,30,0,1,False,False
clearance_hepatocyte_az,Spearman,404,9,6,5,5,30,0,1,False,False
clearance_hepatocyte_az,Spearman,505,9,6,5,5,30,0,1,False,False
clearance_microsome_az,Spearman,101,9,6,5,5,30,0,1,False,False
clearance_microsome_az,Spearman,202,9,6,5,5,30,0,1,False,False
clearance_microsome_az,Spearman,303,9,6,5,5,30,0,1,False,False
clearance_microsome_az,Spearman,404,9,6,5,5,30,0,1,False,False
clearance_microsome_az,Spearman,505,9,6,5,5,30,0,1,False,False
cyp2c9_substrate_carbonmangels,AUPRC,101,9,6,5,5,30,0,1,False,False
cyp2c9_substrate_carbonmangels,AUPRC,202,9,6,5,5,30,0,1,False,False
cyp2c9_substrate_carbonmangels,AUPRC,303,9,6,5,5,30,0,1,False,False
cyp2c9_substrate_carbonmangels,AUPRC,404,9,6,5,5,30,0,1,False,False
cyp2c9_substrate_carbonmangels,AUPRC,505,9,6,5,5,30,0,1,False,False
cyp2c9_veith,AUPRC,101,9,6,5,5,30,0,1,False,False
cyp2c9_veith,AUPRC,202,9,6,5,5,30,0,1,False,False
cyp2c9_veith,AUPRC,303,9,6,5,5,30,0,1,False,False
cyp2c9_veith,AUPRC,404,9,6,5,5,30,0,1,False,False
cyp2c9_veith,AUPRC,505,9,6,5,5,30,0,1,False,False
cyp2d6_substrate_carbonmangels,AUPRC,101,9,6,5,5,30,0,1,False,False
cyp2d6_substrate_carbonmangels,AUPRC,202,9,6,5,5,30,0,1,False,False
