task,variant,metric,direction,n_runs,score_mean,score_std,top1_ref,direction_normalized_margin,delta_margin_vs_full,diagnostic_margin_ge_0,selected_candidate,selected_endpoint_config,valid_metric_used_for_selection,valid_score,test_score_source_file,selection_protocol,uses_chemistry_sidecar,uses_ept_or_3d,uses_prediction_level_ensemble,uses_seedbag,missing_reason
ames,full_v36_final,AUROC,max,5,0.871945,0.000583,0.871,0.0009449999999999,0.0,True,ames_repeated_tabular_ensemble5seed_audit_v1,repeated tabular ensemble; xgboost_500; 5 formal seeds with internal repeated scaffold fold-bag,,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,False,False,True,
bbb_martins,full_v36_final,AUROC,max,5,0.927779,0.000477,0.924,0.0037789999999999,0.0,True,pure_chem_multibackend_endpoint_v1,ExtraTrees over chemical descriptors/fingerprints,,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,False,False,False,
bioavailability_ma,full_v36_final,AUROC,max,5,0.722248,0.004048,0.942,-0.2197519999999999,0.0,False,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,"Canonical backup uses chem fixed chemical endpoint: kpgt/chem_core_pair_torsion/extratrees/topk=all; formal seeds=101,202,303,404,505.",,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,False,False,True,
caco2_wang,full_v36_final,MAE,min,5,0.283647,0.00229,0.256,-0.0276469999999999,0.0,False,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,"Canonical backup uses chem fixed chemical endpoint: chemberta_kpgt/chem_core_pair_torsion/extratrees/topk=512; formal seeds=101,202,303,404,505.",,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,False,False,True,
clearance_hepatocyte_az,full_v36_final,Spearman,max,5,0.55204,0.00965,0.536,0.0160399999999999,0.0,True,clearance_pooled_family_xgb_v1_fp_only_valid_adjusted,clearance family-transfer XGB; fingerprint-only; valid_adjusted selector,,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,False,False,False,
clearance_microsome_az,full_v36_final,Spearman,max,5,0.642814,0.005773,0.63,0.0128139999999999,0.0,True,clearance_microsome_kpgt_ept_seedbag_endpoint_v1,KPGT+EPT seedbag_5x5; equal seed-bag average,,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,False,True,True,True,
cyp2c9_substrate_carbonmangels,full_v36_final,AUPRC,max,5,0.44337,0.023358,0.474,-0.0306299999999999,0.0,False,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv,"Canonical backup uses xl fixed chemical endpoint: xl_v4_kpgt/embed_chem_xl_full_chemical_prior/xgb/topk=1024; formal seeds=101,202,303,404,505.",,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,True,False,True,
cyp2c9_veith,full_v36_final,AUPRC,max,5,0.790586,0.002608,0.859,-0.0684139999999999,0.0,False,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,"Canonical backup uses chem fixed chemical endpoint: kpgt_ept/chem_wide_chem/xgb/topk=all; formal seeds=101,202,303,404,505.",,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,True,False,True,
cyp2d6_substrate_carbonmangels,full_v36_final,AUPRC,max,5,0.747531,0.00961,0.736,0.0115309999999999,0.0,True,cyp2d6_ap_xl_descriptor_seedbag_endpoint_v1,zscore(0.8*AP_surrogate_seedbag + 0.1*XL + 0.1*descriptor_sidecar_v2),,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,True,True,True,
cyp2d6_veith,full_v36_final,AUPRC,max,5,0.719172,0.005514,0.79,-0.070828,0.0,False,v29_rank_uplift_formula_seedwise,rank(0.4*K+E CE seedbag + 0.3*K+E FP/base_pred sidecar + 0.2*K+E AP + 0.1*tabular FP),,,results_strict/final_22task_score_config_table_v36.csv,Reference row from current v36 formal result/config table.,True,False,True,True,
