task,metric,full_v36_final,no_task_adaptive_selection,no_chemistry_sidecar,no_ept_or_no_3d,no_prediction_level_ensemble,no_seedbag_single_seed
ames,AUROC,repeated tabular ensemble; xgboost_500; 5 formal seeds with internal repeated scaffold fold-bag,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,ChemBERTa+KPGT embeddings + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head
bbb_martins,AUROC,ExtraTrees over chemical descriptors/fingerprints,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,ChemBERTa+KPGT embeddings + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head
bioavailability_ma,AUROC,"Canonical backup uses chem fixed chemical endpoint: kpgt/chem_core_pair_torsion/extratrees/topk=all; formal seeds=101,202,303,404,505.",Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,ChemBERTa embedding + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head
caco2_wang,MAE,"Canonical backup uses chem fixed chemical endpoint: chemberta_kpgt/chem_core_pair_torsion/extratrees/topk=512; formal seeds=101,202,303,404,505.",Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,EPT/3D embedding + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head
clearance_hepatocyte_az,Spearman,clearance family-transfer XGB; fingerprint-only; valid_adjusted selector,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,EPT/3D embedding + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head
clearance_microsome_az,Spearman,KPGT+EPT seedbag_5x5; equal seed-bag average,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,KPGT embedding + target-standardized Ridge/linear head,KPGT embedding + target-standardized Ridge/linear head,KPGT embedding + target-standardized Ridge/linear head,KPGT embedding + target-standardized Ridge/linear head
cyp2c9_substrate_carbonmangels,AUPRC,"Canonical backup uses xl fixed chemical endpoint: xl_v4_kpgt/embed_chem_xl_full_chemical_prior/xgb/topk=1024; formal seeds=101,202,303,404,505.",Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,ChemBERTa+KPGT embeddings + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head
cyp2c9_veith,AUPRC,"Canonical backup uses chem fixed chemical endpoint: kpgt_ept/chem_wide_chem/xgb/topk=all; formal seeds=101,202,303,404,505.",Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,ChemBERTa+KPGT+EPT embeddings + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head
cyp2d6_substrate_carbonmangels,AUPRC,zscore(0.8*AP_surrogate_seedbag + 0.1*XL + 0.1*descriptor_sidecar_v2),Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,ChemBERTa+KPGT embeddings + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head
cyp2d6_veith,AUPRC,rank(0.4*K+E CE seedbag + 0.3*K+E FP/base_pred sidecar + 0.2*K+E AP + 0.1*tabular FP),Morgan fingerprint + ChemBERTa+KPGT+EPT embeddings + fixed XGBoost head,KPGT+EPT embeddings + target-standardized Ridge/linear head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head,Morgan fingerprint + ChemBERTa+KPGT embeddings + fixed XGBoost head
