Category,Dataset,task,metric,n_runs,score_mean,score_std,top1_ref,direction_normalized_margin,selected_candidate,selected_endpoint_config,selection_protocol,uses_chemistry_sidecar,uses_ept_or_3d,uses_prediction_level_ensemble,uses_seedbag,test_score_source_file,Rank
Absorption,TDC.AqSol,solubility_aqsoldb,MAE,5,0.738443,0.000456,0.741,0.002557,solubility_clean_selector_v2_valid_selected_fp_xgb_metric_xl,0.3*FP-XGB + 0.3*metric_auto(K+E) + 0.4*XL_v4,Reference row from current v36 formal result/config table.,True,True,False,False,results_strict/final_22task_score_config_table_v36.csv,Top-1
Absorption,TDC.Bioav,bioavailability_ma,AUROC,5,0.722248,0.004048,0.942,-0.2197519999999999,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,"Canonical backup uses chem fixed chemical endpoint: kpgt/chem_core_pair_torsion/extratrees/topk=all; formal seeds=101,202,303,404,505.",Reference row from current v36 formal result/config table.,True,False,False,True,results_strict/final_22task_score_config_table_v36.csv,Top-21
Absorption,TDC.Caco2,caco2_wang,MAE,5,0.283647,0.00229,0.256,-0.0276469999999999,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,"Canonical backup uses chem fixed chemical endpoint: chemberta_kpgt/chem_core_pair_torsion/extratrees/topk=512; formal seeds=101,202,303,404,505.",Reference row from current v36 formal result/config table.,True,False,False,True,results_strict/final_22task_score_config_table_v36.csv,Top-5
Absorption,TDC.HIA,hia_hou,AUROC,5,0.99428,0.001736,0.993,0.00128,hia_hou_true5run_seedvarying_endpoint_audit_v1,rank(0.1*selected_gated_5seed + 0.5*official_sidecar_bagged + 0.4*chem_logreg_trainonly); valid-only saturated-valid tie-break; true seed-varying 5-run final scores,Reference row from current v36 formal result/config table.,True,False,True,True,results_strict/final_22task_score_config_table_v36.csv,Top-1
Absorption,TDC.Lipo,lipophilicity_astrazeneca,MAE,5,0.472895,0.006499,0.456,-0.0168949999999999,v29_rank_uplift_formula_seedwise,raw(0.2*XL_K + 0.1*tabular FP + 0.3*K metric_auto + 0.4*K SmoothL1 seedbag),Reference row from current v36 formal result/config table.,True,True,True,True,results_strict/final_22task_score_config_table_v36.csv,Top-4
Absorption,TDC.Pgp,pgp_broccatelli,AUROC,5,0.938363,0.003565,0.938,0.000363,pgp_frozen_blend_audit_v1,logit(0.65*layerwise_selected_gated + 0.25*aux_K+E + 0.10*aux_K),Reference row from current v36 formal result/config table.,False,False,True,False,results_strict/final_22task_score_config_table_v36.csv,Top-1
Distribution,TDC.BBB,bbb_martins,AUROC,5,0.927779,0.000477,0.924,0.0037789999999999,pure_chem_multibackend_endpoint_v1,ExtraTrees over chemical descriptors/fingerprints,Reference row from current v36 formal result/config table.,True,False,False,False,results_strict/final_22task_score_config_table_v36.csv,Top-1
Distribution,TDC.PPBR,ppbr_az,MAE,5,7.330617,0.098555,7.44,0.1093830000000002,ppbr_kpgt_fp_seedbag_endpoint_v1,0.7*KPGT_seedbag + 0.3*fp_only,Reference row from current v36 formal result/config table.,True,False,True,True,results_strict/final_22task_score_config_table_v36.csv,Top-1
Distribution,TDC.VD,vdss_lombardo,Spearman,5,0.660995,0.004668,0.713,-0.0520049999999999,v29_rank_uplift_formula_seedwise,rank(0.9*KPGT+EPT Spearman seedbag + 0.1*KPGT+EPT descriptor sidecar),Reference row from current v36 formal result/config table.,True,True,True,True,results_strict/final_22task_score_config_table_v36.csv,Top-3
Excretion,TDC.CL-Hepa,clearance_hepatocyte_az,Spearman,5,0.55204,0.00965,0.536,0.0160399999999999,clearance_pooled_family_xgb_v1_fp_only_valid_adjusted,clearance family-transfer XGB; fingerprint-only; valid_adjusted selector,Reference row from current v36 formal result/config table.,True,False,False,False,results_strict/final_22task_score_config_table_v36.csv,Top-1
Excretion,TDC.CL-Micro,clearance_microsome_az,Spearman,5,0.642814,0.005773,0.63,0.0128139999999999,clearance_microsome_kpgt_ept_seedbag_endpoint_v1,KPGT+EPT seedbag_5x5; equal seed-bag average,Reference row from current v36 formal result/config table.,False,True,True,True,results_strict/final_22task_score_config_table_v36.csv,Top-1
Excretion,TDC.Half_Life,half_life_obach,Spearman,5,0.49139,0.009785,0.576,-0.0846099999999999,v29_rank_uplift_formula_seedwise,zscore(0.5*C+K metric_auto + 0.1*C+K Spearman seedbag + 0.4*C+K descriptor sidecar),Reference row from current v36 formal result/config table.,True,False,True,True,results_strict/final_22task_score_config_table_v36.csv,Top-7
Metabolism,TDC.CYP2C9-I,cyp2c9_veith,AUPRC,5,0.790586,0.002608,0.859,-0.0684139999999999,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv,"Canonical backup uses chem fixed chemical endpoint: kpgt_ept/chem_wide_chem/xgb/topk=all; formal seeds=101,202,303,404,505.",Reference row from current v36 formal result/config table.,True,True,False,True,results_strict/final_22task_score_config_table_v36.csv,Top-8
Metabolism,TDC.CYP2C9-S,cyp2c9_substrate_carbonmangels,AUPRC,5,0.44337,0.023358,0.474,-0.0306299999999999,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv,"Canonical backup uses xl fixed chemical endpoint: xl_v4_kpgt/embed_chem_xl_full_chemical_prior/xgb/topk=1024; formal seeds=101,202,303,404,505.",Reference row from current v36 formal result/config table.,True,True,False,True,results_strict/final_22task_score_config_table_v36.csv,Top-2
Metabolism,TDC.CYP2D6-I,cyp2d6_veith,AUPRC,5,0.719172,0.005514,0.79,-0.070828,v29_rank_uplift_formula_seedwise,rank(0.4*K+E CE seedbag + 0.3*K+E FP/base_pred sidecar + 0.2*K+E AP + 0.1*tabular FP),Reference row from current v36 formal result/config table.,True,False,True,True,results_strict/final_22task_score_config_table_v36.csv,Top-4
Metabolism,TDC.CYP2D6-S,cyp2d6_substrate_carbonmangels,AUPRC,5,0.747531,0.00961,0.736,0.0115309999999999,cyp2d6_ap_xl_descriptor_seedbag_endpoint_v1,zscore(0.8*AP_surrogate_seedbag + 0.1*XL + 0.1*descriptor_sidecar_v2),Reference row from current v36 formal result/config table.,True,True,True,True,results_strict/final_22task_score_config_table_v36.csv,Top-1
Metabolism,TDC.CYP3A4-I,cyp3a4_veith,AUPRC,5,0.884121,0.003206,0.916,-0.0318789999999999,v29_rank_uplift_formula_seedwise,logit(0.2*XL_K+E + 0.3*K+E CE seedbag + 0.3*K+E AP + 0.2*tabular FP),Reference row from current v36 formal result/config table.,True,True,True,True,results_strict/final_22task_score_config_table_v36.csv,Top-4
Metabolism,TDC.CYP3A4-S,cyp3a4_substrate_carbonmangels,AUROC,5,0.725249,0.00476,0.667,0.0582489999999999,cyp_substrate_pooled_family_xgb_v1,CYP substrate family-transfer pooled XGB; fingerprint-only; task one-hot,Reference row from current v36 formal result/config table.,True,False,False,False,results_strict/final_22task_score_config_table_v36.csv,Top-1
