Category,Dataset,Metric,Dir.,Trimole-Hybrid,Top-1 ref.,Margin,Rank
Absorption,TDC.Bioav,AUROC,↑,0.722248±0.004048,0.942,-0.219752,Top-21
Absorption,TDC.Caco2,MAE,↓,0.283647±0.002290,0.256,-0.027647,Top-5
Absorption,TDC.HIA,AUROC,↑,0.994280±0.001736,0.993,0.00128,Top-1
Absorption,TDC.Lipo,MAE,↓,0.472895±0.006499,0.456,-0.016895,Top-4
Absorption,TDC.Pgp,AUROC,↑,0.938363±0.003565,0.938,0.000363,Top-1
Absorption,TDC.AqSol,MAE,↓,0.738443±0.000456,0.741,0.002557,Top-1
Distribution,TDC.BBB,AUROC,↑,0.927779±0.000477,0.924,0.003779,Top-1
Distribution,TDC.PPBR,MAE,↓,7.330617±0.098555,7.44,0.109383,Top-1
Distribution,TDC.VD,Spearman,↑,0.660995±0.004668,0.713,-0.052005,Top-3
Metabolism,TDC.CYP2C9-S,AUPRC,↑,0.443370±0.023358,0.474,-0.03063,Top-2
Metabolism,TDC.CYP2C9-I,AUPRC,↑,0.790586±0.002608,0.859,-0.068414,Top-8
Metabolism,TDC.CYP2D6-S,AUPRC,↑,0.747531±0.009610,0.736,0.011531,Top-1
Metabolism,TDC.CYP2D6-I,AUPRC,↑,0.719172±0.005514,0.79,-0.070828,Top-4
Metabolism,TDC.CYP3A4-S,AUROC,↑,0.725249±0.004760,0.667,0.058249,Top-1
Metabolism,TDC.CYP3A4-I,AUPRC,↑,0.884121±0.003206,0.916,-0.031879,Top-4
Excretion,TDC.CL-Hepa,Spearman,↑,0.552040±0.009650,0.536,0.01604,Top-1
Excretion,TDC.CL-Micro,Spearman,↑,0.642814±0.005773,0.63,0.012814,Top-1
Excretion,TDC.Half_Life,Spearman,↑,0.491390±0.009785,0.576,-0.08461,Top-7
Toxicity,TDC.AMES,AUROC,↑,0.871945±0.000583,0.871,0.000945,Top-1
Toxicity,TDC.DILI,AUROC,↑,0.908609±0.005520,0.956,-0.047391,Top-6
Toxicity,TDC.hERG,AUROC,↑,0.863358±0.002334,0.88,-0.016642,Top-6
Toxicity,TDC.LD50,MAE,↓,0.603071±0.003837,0.552,-0.051071,Top-5
