task,category,metric,direction,rank_num,top1_flag,model,model_short,source,leaderboard_rank,score_mean,score_std,is_trimole,endpoint_config
TDC.AqSol,Absorption,MAE,lower_better,1,1,MiniMol,MiniMol,TDC leaderboard,1,0.741,0.013,False,
TDC.AqSol,Absorption,MAE,lower_better,1,1,Chemprop-RDKit,Chemprop-RDKit,TDC leaderboard,2,0.761,0.025,False,
TDC.AqSol,Absorption,MAE,lower_better,1,1,DeepMol (AutoML),DeepMol,TDC leaderboard,3,0.775,0.006,False,
TDC.AqSol,Absorption,MAE,lower_better,1,1,AttentiveFP,AttentiveFP,TDC leaderboard,4,0.776,0.008,False,
TDC.AqSol,Absorption,MAE,lower_better,1,1,MapLight + GNN,MapLight+GNN,TDC leaderboard,5,0.789,0.003,False,
TDC.AqSol,Absorption,MAE,lower_better,1,1,Trimole-Hybrid,Trimole,v36 final formal 5-run,1,0.738443,0.000456,True,FP-XGB + K+E + XL blend
TDC.Bioav,Absorption,AUROC,higher_better,21,0,MiniMol,MiniMol,TDC leaderboard,1,0.942,0.002,False,
TDC.Bioav,Absorption,AUROC,higher_better,21,0,MapLight + GNN,MapLight+GNN,TDC leaderboard,2,0.938,0.002,False,
TDC.Bioav,Absorption,AUROC,higher_better,21,0,ZairaChem,ZairaChem,TDC leaderboard,3,0.935,0.006,False,
TDC.Bioav,Absorption,AUROC,higher_better,21,0,MapLight,MapLight,TDC leaderboard,4,0.93,0.002,False,
TDC.Bioav,Absorption,AUROC,higher_better,21,0,SimGCN,SimGCN,TDC leaderboard,5,0.929,0.01,False,
TDC.Bioav,Absorption,AUROC,higher_better,21,0,Trimole-Hybrid,Trimole,v36 final formal 5-run,21,0.722248,0.004048,True,KPGT chem ExtraTrees
TDC.Caco2,Absorption,MAE,lower_better,5,0,CaliciBoost,CaliciBoost,TDC leaderboard,1,0.256,0.006,False,
TDC.Caco2,Absorption,MAE,lower_better,5,0,XG Boost,XG Boost,TDC leaderboard,2,0.274,0.004,False,
TDC.Caco2,Absorption,MAE,lower_better,5,0,MapLight,MapLight,TDC leaderboard,3,0.276,0.005,False,
TDC.Caco2,Absorption,MAE,lower_better,5,0,BaseBoosting,BaseBoosting,TDC leaderboard,4,0.285,0.005,False,
TDC.Caco2,Absorption,MAE,lower_better,5,0,MolMapNet-D,MolMapNet-D,TDC leaderboard,5,0.287,0.005,False,
TDC.Caco2,Absorption,MAE,lower_better,5,0,Trimole-Hybrid,Trimole,v36 final formal 5-run,5,0.283647,0.00229,True,ChemBERTa+KPGT ExtraTrees
TDC.HIA,Absorption,AUROC,higher_better,1,1,MiniMol,MiniMol,TDC leaderboard,1,0.993,0.005,False,
TDC.HIA,Absorption,AUROC,higher_better,1,1,DeepMol (AutoML),DeepMol,TDC leaderboard,2,0.99,0.002,False,
TDC.HIA,Absorption,AUROC,higher_better,1,1,MapLight + GNN,MapLight+GNN,TDC leaderboard,3,0.989,0.001,False,
TDC.HIA,Absorption,AUROC,higher_better,1,1,RFStacker,RFStacker,TDC leaderboard,4,0.988,0.002,False,
TDC.HIA,Absorption,AUROC,higher_better,1,1,MapLight,MapLight,TDC leaderboard,5,0.986,0.0,False,
TDC.HIA,Absorption,AUROC,higher_better,1,1,Trimole-Hybrid,Trimole,v36 final formal 5-run,1,0.99428,0.001736,True,Gated + sidecar rank blend
TDC.Lipo,Absorption,MAE,lower_better,4,0,MiniMol,MiniMol,TDC leaderboard,1,0.456,0.008,False,
TDC.Lipo,Absorption,MAE,lower_better,4,0,Chemprop-RDKit,Chemprop-RDKit,TDC leaderboard,2,0.467,0.006,False,
TDC.Lipo,Absorption,MAE,lower_better,4,0,Chemprop,Chemprop,TDC leaderboard,3,0.47,0.009,False,
TDC.Lipo,Absorption,MAE,lower_better,4,0,BaseBoosting KyQVZ6b2,BaseBoosting,TDC leaderboard,4,0.479,0.007,False,
TDC.Lipo,Absorption,MAE,lower_better,4,0,ADMETrix,ADMETrix,TDC leaderboard,5,0.512,0.01,False,
TDC.Lipo,Absorption,MAE,lower_better,4,0,Trimole-Hybrid,Trimole,v36 final formal 5-run,4,0.472895,0.006499,True,KPGT + tabular seedbag blend
TDC.Pgp,Absorption,AUROC,higher_better,1,1,MapLight + GNN,MapLight+GNN,TDC leaderboard,1,0.938,0.002,False,
TDC.Pgp,Absorption,AUROC,higher_better,1,1,ZairaChem,ZairaChem,TDC leaderboard,2,0.935,0.006,False,
TDC.Pgp,Absorption,AUROC,higher_better,1,1,MapLight,MapLight,TDC leaderboard,3,0.93,0.002,False,
TDC.Pgp,Absorption,AUROC,higher_better,1,1,SimGCN,SimGCN,TDC leaderboard,4,0.929,0.01,False,
TDC.Pgp,Absorption,AUROC,higher_better,1,1,AttrMasking,AttrMasking,TDC leaderboard,5,0.929,0.006,False,
TDC.Pgp,Absorption,AUROC,higher_better,1,1,Trimole-Hybrid,Trimole,v36 final formal 5-run,1,0.938363,0.003565,True,Gated K+E logit blend
TDC.BBB,Distribution,AUROC,higher_better,1,1,MiniMol,MiniMol,TDC leaderboard,1,0.924,0.003,False,
TDC.BBB,Distribution,AUROC,higher_better,1,1,CFA,CFA,TDC leaderboard,2,0.92,0.006,False,
TDC.BBB,Distribution,AUROC,higher_better,1,1,MapLight,MapLight,TDC leaderboard,3,0.916,0.001,False,
TDC.BBB,Distribution,AUROC,higher_better,1,1,Lantern RADR Ensemble,Lantern RADR Ensemble,TDC leaderboard,4,0.915,0.002,False,
TDC.BBB,Distribution,AUROC,higher_better,1,1,MapLight + GNN,MapLight+GNN,TDC leaderboard,5,0.913,0.001,False,
TDC.BBB,Distribution,AUROC,higher_better,1,1,Trimole-Hybrid,Trimole,v36 final formal 5-run,1,0.927779,0.000477,True,ExtraTrees chem descriptors
TDC.PPBR,Distribution,MAE,lower_better,1,1,Gradient Boost,GradientBoost,TDC leaderboard,1,7.44,0.024,False,
TDC.PPBR,Distribution,MAE,lower_better,1,1,MapLight + GNN,MapLight+GNN,TDC leaderboard,2,7.526,0.106,False,
TDC.PPBR,Distribution,MAE,lower_better,1,1,MapLight,MapLight,TDC leaderboard,3,7.66,0.058,False,
TDC.PPBR,Distribution,MAE,lower_better,1,1,MiniMol,MiniMol,TDC leaderboard,4,7.696,0.125,False,
TDC.PPBR,Distribution,MAE,lower_better,1,1,Chemprop,Chemprop,TDC leaderboard,5,7.788,0.21,False,
TDC.PPBR,Distribution,MAE,lower_better,1,1,Trimole-Hybrid,Trimole,v36 final formal 5-run,1,7.330617,0.098555,True,KPGT seedbag + FP blend
TDC.VD,Distribution,Spearman,higher_better,3,0,MapLight + GNN,MapLight+GNN,TDC leaderboard,1,0.713,0.007,False,
TDC.VD,Distribution,Spearman,higher_better,3,0,MapLight,MapLight,TDC leaderboard,2,0.707,0.009,False,
TDC.VD,Distribution,Spearman,higher_better,3,0,CFA,CFA,TDC leaderboard,3,0.628,0.023,False,
TDC.VD,Distribution,Spearman,higher_better,3,0,Basic ML,Basic ML,TDC leaderboard,4,0.627,0.01,False,
TDC.VD,Distribution,Spearman,higher_better,3,0,Euclia ML model,Euclia ML model,TDC leaderboard,5,0.609,0.014,False,
TDC.VD,Distribution,Spearman,higher_better,3,0,Trimole-Hybrid,Trimole,v36 final formal 5-run,3,0.660995,0.004668,True,KPGT+EPT rank blend
