task,variant,metric,direction,score_mean,score_std,top1_ref,direction_normalized_margin,full_margin,delta_margin_vs_full,diagnostic_margin_ge_0,selected_candidate
ames,full_v36_final,AUROC,max,0.871945,0.000583,0.871,0.0009449999999999,0.0009449999999999,0.0,True,ames_repeated_tabular_ensemble5seed_audit_v1
bbb_martins,full_v36_final,AUROC,max,0.927779,0.000477,0.924,0.0037789999999999,0.0037789999999999,0.0,True,pure_chem_multibackend_endpoint_v1
bioavailability_ma,full_v36_final,AUROC,max,0.722248,0.004048,0.942,-0.2197519999999999,-0.2197519999999999,0.0,False,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv
caco2_wang,full_v36_final,MAE,min,0.283647,0.00229,0.256,-0.0276469999999999,-0.0276469999999999,0.0,False,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv
clearance_hepatocyte_az,full_v36_final,Spearman,max,0.55204,0.00965,0.536,0.0160399999999999,0.0160399999999999,0.0,True,clearance_pooled_family_xgb_v1_fp_only_valid_adjusted
clearance_microsome_az,full_v36_final,Spearman,max,0.642814,0.005773,0.63,0.0128139999999999,0.0128139999999999,0.0,True,clearance_microsome_kpgt_ept_seedbag_endpoint_v1
cyp2c9_substrate_carbonmangels,full_v36_final,AUPRC,max,0.44337,0.023358,0.474,-0.0306299999999999,-0.0306299999999999,0.0,False,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv
cyp2c9_veith,full_v36_final,AUPRC,max,0.790586,0.002608,0.859,-0.0684139999999999,-0.0684139999999999,0.0,False,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv
cyp2d6_substrate_carbonmangels,full_v36_final,AUPRC,max,0.747531,0.00961,0.736,0.0115309999999999,0.0115309999999999,0.0,True,cyp2d6_ap_xl_descriptor_seedbag_endpoint_v1
cyp2d6_veith,full_v36_final,AUPRC,max,0.719172,0.005514,0.79,-0.070828,-0.070828,0.0,False,v29_rank_uplift_formula_seedwise
