task,variant,delta_margin_vs_full,direction_normalized_margin,selected_candidate
ames,full_v36_final,0.0,0.0009449999999999,ames_repeated_tabular_ensemble5seed_audit_v1
bbb_martins,full_v36_final,0.0,0.0037789999999999,pure_chem_multibackend_endpoint_v1
bioavailability_ma,full_v36_final,0.0,-0.2197519999999999,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv
caco2_wang,full_v36_final,0.0,-0.0276469999999999,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv
clearance_hepatocyte_az,full_v36_final,0.0,0.0160399999999999,clearance_pooled_family_xgb_v1_fp_only_valid_adjusted
clearance_microsome_az,full_v36_final,0.0,0.0128139999999999,clearance_microsome_kpgt_ept_seedbag_endpoint_v1
cyp2c9_substrate_carbonmangels,full_v36_final,0.0,-0.0306299999999999,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv
cyp2c9_veith,full_v36_final,0.0,-0.0684139999999999,fixed_chemical_endpoint_5run_v1/top1_method_transfer_chem_lite_v1_summary.csv
cyp2d6_substrate_carbonmangels,full_v36_final,0.0,0.0115309999999999,cyp2d6_ap_xl_descriptor_seedbag_endpoint_v1
cyp2d6_veith,full_v36_final,0.0,-0.070828,v29_rank_uplift_formula_seedwise
cyp3a4_substrate_carbonmangels,full_v36_final,0.0,0.0582489999999999,cyp_substrate_pooled_family_xgb_v1
cyp3a4_veith,full_v36_final,0.0,-0.0318789999999999,v29_rank_uplift_formula_seedwise
dili,full_v36_final,0.0,-0.0473909999999999,v29_rank_uplift_formula_seedwise
half_life_obach,full_v36_final,0.0,-0.0846099999999999,v29_rank_uplift_formula_seedwise
herg,full_v36_final,0.0,-0.016642,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv
hia_hou,full_v36_final,0.0,0.00128,hia_hou_true5run_seedvarying_endpoint_audit_v1
ld50_zhu,full_v36_final,0.0,-0.0510709999999999,fixed_chemical_endpoint_5run_v1/paper_main_chemical_prior_xl_v4_all22_32core_summary_rebuilt_from_json.csv
lipophilicity_astrazeneca,full_v36_final,0.0,-0.0168949999999999,v29_rank_uplift_formula_seedwise
pgp_broccatelli,full_v36_final,0.0,0.000363,pgp_frozen_blend_audit_v1
ppbr_az,full_v36_final,0.0,0.1093830000000002,ppbr_kpgt_fp_seedbag_endpoint_v1
solubility_aqsoldb,full_v36_final,0.0,0.002557,solubility_clean_selector_v2_valid_selected_fp_xgb_metric_xl
vdss_lombardo,full_v36_final,0.0,-0.0520049999999999,v29_rank_uplift_formula_seedwise
ames,no_chemistry_sidecar,-0.17606413293779,-0.17511913293779,deep_chemberta_kpgt_ridge_linear
bbb_martins,no_chemistry_sidecar,-0.1707277179487181,-0.1669487179487181,deep_chemberta_kpgt_ridge_linear
bioavailability_ma,no_chemistry_sidecar,-0.176421594945128,-0.3961735949451279,deep_chemberta_ridge_linear
caco2_wang,no_chemistry_sidecar,-0.0812834504471999,-0.1089304504471999,deep_ept_ridge_linear
clearance_hepatocyte_az,no_chemistry_sidecar,-0.298076793128441,-0.2820367931284411,deep_ept_ridge_linear
clearance_microsome_az,no_chemistry_sidecar,-0.2045699580580495,-0.1917559580580495,deep_kpgt_ridge_linear
cyp2c9_substrate_carbonmangels,no_chemistry_sidecar,-0.1286361600903749,-0.1592661600903749,deep_chemberta_kpgt_ridge_linear
cyp2c9_veith,no_chemistry_sidecar,-0.250991887132014,-0.319405887132014,deep_chemberta_kpgt_ept_ridge_linear
cyp2d6_substrate_carbonmangels,no_chemistry_sidecar,-0.2566183728065819,-0.2450873728065819,deep_chemberta_kpgt_ridge_linear
