task,variant,metric,direction,n_runs,score_mean,score_std,top1_ref,direction_normalized_margin,diagnostic_margin_ge_0,delta_margin_vs_full,selection_protocol
ames,full_v36_final,AUROC,max,5,0.871945,0.000583,0.871,0.0009449999999999,True,0.0,Final v36 validation-selected fixed endpoint configuration.
bbb_martins,full_v36_final,AUROC,max,5,0.927779,0.000477,0.924,0.0037789999999999,True,0.0,Final v36 validation-selected fixed endpoint configuration.
bioavailability_ma,full_v36_final,AUROC,max,5,0.722248,0.004048,0.942,-0.2197519999999999,False,0.0,Final v36 validation-selected fixed endpoint configuration.
caco2_wang,full_v36_final,MAE,min,5,0.283647,0.00229,0.256,-0.0276469999999999,False,0.0,Final v36 validation-selected fixed endpoint configuration.
clearance_hepatocyte_az,full_v36_final,Spearman,max,5,0.55204,0.00965,0.536,0.0160399999999999,True,0.0,Final v36 validation-selected fixed endpoint configuration.
clearance_microsome_az,full_v36_final,Spearman,max,5,0.642814,0.005773,0.63,0.0128139999999999,True,0.0,Final v36 validation-selected fixed endpoint configuration.
cyp2c9_substrate_carbonmangels,full_v36_final,AUPRC,max,5,0.44337,0.023358,0.474,-0.0306299999999999,False,0.0,Final v36 validation-selected fixed endpoint configuration.
cyp2c9_veith,full_v36_final,AUPRC,max,5,0.790586,0.002608,0.859,-0.0684139999999999,False,0.0,Final v36 validation-selected fixed endpoint configuration.
cyp2d6_substrate_carbonmangels,full_v36_final,AUPRC,max,5,0.747531,0.00961,0.736,0.0115309999999999,True,0.0,Final v36 validation-selected fixed endpoint configuration.
cyp2d6_veith,full_v36_final,AUPRC,max,5,0.719172,0.005514,0.79,-0.070828,False,0.0,Final v36 validation-selected fixed endpoint configuration.
cyp3a4_substrate_carbonmangels,full_v36_final,AUROC,max,5,0.725249,0.00476,0.667,0.0582489999999999,True,0.0,Final v36 validation-selected fixed endpoint configuration.
cyp3a4_veith,full_v36_final,AUPRC,max,5,0.884121,0.003206,0.916,-0.0318789999999999,False,0.0,Final v36 validation-selected fixed endpoint configuration.
dili,full_v36_final,AUROC,max,5,0.908609,0.00552,0.956,-0.0473909999999999,False,0.0,Final v36 validation-selected fixed endpoint configuration.
half_life_obach,full_v36_final,Spearman,max,5,0.49139,0.009785,0.576,-0.0846099999999999,False,0.0,Final v36 validation-selected fixed endpoint configuration.
herg,full_v36_final,AUROC,max,5,0.863358,0.002334,0.88,-0.016642,False,0.0,Final v36 validation-selected fixed endpoint configuration.
hia_hou,full_v36_final,AUROC,max,5,0.99428,0.001736,0.993,0.00128,True,0.0,Final v36 validation-selected fixed endpoint configuration.
ld50_zhu,full_v36_final,MAE,min,5,0.603071,0.003837,0.552,-0.0510709999999999,False,0.0,Final v36 validation-selected fixed endpoint configuration.
lipophilicity_astrazeneca,full_v36_final,MAE,min,5,0.472895,0.006499,0.456,-0.0168949999999999,False,0.0,Final v36 validation-selected fixed endpoint configuration.
pgp_broccatelli,full_v36_final,AUROC,max,5,0.938363,0.003565,0.938,0.000363,True,0.0,Final v36 validation-selected fixed endpoint configuration.
ppbr_az,full_v36_final,MAE,min,5,7.330617,0.098555,7.44,0.1093830000000002,True,0.0,Final v36 validation-selected fixed endpoint configuration.
solubility_aqsoldb,full_v36_final,MAE,min,5,0.738443,0.000456,0.741,0.002557,True,0.0,Final v36 validation-selected fixed endpoint configuration.
vdss_lombardo,full_v36_final,Spearman,max,5,0.660995,0.004668,0.713,-0.0520049999999999,False,0.0,Final v36 validation-selected fixed endpoint configuration.
ames,mlp_stacking_baseline_v1,AUROC,max,5,0.8359323660146076,0.0117868323841928,0.871,-0.0350676339853923,False,-0.0360126339853922,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
bbb_martins,mlp_stacking_baseline_v1,AUROC,max,5,0.8370934959349594,0.0365172699261678,0.924,-0.0869065040650406,False,-0.0906855040650405,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
bioavailability_ma,mlp_stacking_baseline_v1,AUROC,max,5,0.4646491519787162,0.0919538857623611,0.942,-0.4773508480212837,False,-0.2575988480212838,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
caco2_wang,mlp_stacking_baseline_v1,MAE,min,5,1.1788261457202958,0.5645614155222303,0.256,-0.9228261457202958,False,-0.8951791457202959,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
clearance_hepatocyte_az,mlp_stacking_baseline_v1,Spearman,max,5,0.1176104269364308,0.1035212037797778,0.536,-0.4183895730635691,False,-0.434429573063569,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
clearance_microsome_az,mlp_stacking_baseline_v1,Spearman,max,5,0.4934948034061664,0.0543683646759144,0.63,-0.1365051965938336,False,-0.1493191965938335,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
cyp2c9_substrate_carbonmangels,mlp_stacking_baseline_v1,AUPRC,max,5,0.3416119867851612,0.0887073853661453,0.474,-0.1323880132148387,False,-0.1017580132148388,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
cyp2c9_veith,mlp_stacking_baseline_v1,AUPRC,max,5,0.7747715915666096,0.013460594509409,0.859,-0.0842284084333904,False,-0.0158144084333905,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
cyp2d6_substrate_carbonmangels,mlp_stacking_baseline_v1,AUPRC,max,5,0.3054278126732336,0.1174235518594523,0.736,-0.4305721873267663,False,-0.4421031873267662,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
cyp2d6_veith,mlp_stacking_baseline_v1,AUPRC,max,5,0.6300957083680512,0.0761356500325441,0.79,-0.1599042916319488,False,-0.0890762916319488,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
cyp3a4_substrate_carbonmangels,mlp_stacking_baseline_v1,AUROC,max,5,0.4806509945750452,0.114788890799292,0.667,-0.1863490054249548,False,-0.2445980054249547,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
cyp3a4_veith,mlp_stacking_baseline_v1,AUPRC,max,5,0.8420451423300106,0.0205152234881339,0.916,-0.0739548576699894,False,-0.0420758576699895,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
dili,mlp_stacking_baseline_v1,AUROC,max,5,0.3225217391304348,0.3006986823092729,0.956,-0.6334782608695652,False,-0.5860872608695653,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
half_life_obach,mlp_stacking_baseline_v1,Spearman,max,5,-0.0734604998065737,0.1446836631753019,0.576,-0.6494604998065737,False,-0.5648504998065739,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
herg,mlp_stacking_baseline_v1,AUROC,max,5,0.5385272459499264,0.2043925191652601,0.88,-0.3414727540500736,False,-0.3248307540500736,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
hia_hou,mlp_stacking_baseline_v1,AUROC,max,5,0.9132510288065844,0.0439197036824683,0.993,-0.0797489711934157,False,-0.0810289711934157,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
ld50_zhu,mlp_stacking_baseline_v1,MAE,min,5,0.6429992578096553,0.0061257483383048,0.552,-0.0909992578096552,False,-0.0399282578096553,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
lipophilicity_astrazeneca,mlp_stacking_baseline_v1,MAE,min,5,0.529591568581974,0.0052434361806502,0.456,-0.0735915685819739,False,-0.056696568581974,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
pgp_broccatelli,mlp_stacking_baseline_v1,AUROC,max,5,0.5837909890695815,0.3535486206060432,0.938,-0.3542090109304184,False,-0.3545720109304184,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
ppbr_az,mlp_stacking_baseline_v1,MAE,min,5,22.551361003542983,2.8322594568831354,7.44,-15.111361003542983,False,-15.220744003542984,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
solubility_aqsoldb,mlp_stacking_baseline_v1,MAE,min,5,0.8448780538544296,0.0188436976027758,0.741,-0.1038780538544296,False,-0.1064350538544296,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
vdss_lombardo,mlp_stacking_baseline_v1,Spearman,max,5,0.1627848777552878,0.0390776859796327,0.713,-0.5502151222447121,False,-0.4982101222447122,Fixed diagnostic MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
ames,mlp_stacking_baseline_lbfgs_v1,AUROC,max,5,0.7893710470148232,0.0187565532957392,0.871,-0.0816289529851768,False,-0.0825739529851767,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
bbb_martins,mlp_stacking_baseline_lbfgs_v1,AUROC,max,5,0.6746208567854909,0.0318903505112522,0.924,-0.2493791432145091,False,-0.2531581432145091,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
bioavailability_ma,mlp_stacking_baseline_lbfgs_v1,AUROC,max,5,0.5364150315929498,0.0448595110845819,0.942,-0.4055849684070501,False,-0.1858329684070502,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
caco2_wang,mlp_stacking_baseline_lbfgs_v1,MAE,min,5,1.1425995699081573,0.7178321720494956,0.256,-0.8865995699081572,False,-0.8589525699081574,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
clearance_hepatocyte_az,mlp_stacking_baseline_lbfgs_v1,Spearman,max,5,0.1950610669871612,0.0846660207398926,0.536,-0.3409389330128387,False,-0.3569789330128386,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
clearance_microsome_az,mlp_stacking_baseline_lbfgs_v1,Spearman,max,5,0.1368286804537397,0.0673741861596225,0.63,-0.4931713195462602,False,-0.5059853195462601,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
cyp2c9_substrate_carbonmangels,mlp_stacking_baseline_lbfgs_v1,AUPRC,max,5,0.3077341515097825,0.0412040835292789,0.474,-0.1662658484902174,False,-0.1356358484902175,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
cyp2c9_veith,mlp_stacking_baseline_lbfgs_v1,AUPRC,max,5,0.6994664784690434,0.0210369910975321,0.859,-0.1595335215309565,False,-0.0911195215309566,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
cyp2d6_substrate_carbonmangels,mlp_stacking_baseline_lbfgs_v1,AUPRC,max,5,0.5128442308004126,0.0461130660027658,0.736,-0.2231557691995873,False,-0.2346867691995872,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
cyp2d6_veith,mlp_stacking_baseline_lbfgs_v1,AUPRC,max,5,0.6283695043838655,0.0131027840656666,0.79,-0.1616304956161345,False,-0.0908024956161345,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
cyp3a4_substrate_carbonmangels,mlp_stacking_baseline_lbfgs_v1,AUROC,max,5,0.6134267631103074,0.0105265151885785,0.667,-0.0535732368896926,False,-0.1118222368896925,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
cyp3a4_veith,mlp_stacking_baseline_lbfgs_v1,AUPRC,max,5,0.8362721868996058,0.0167959656288301,0.916,-0.0797278131003942,False,-0.0478488131003943,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
dili,mlp_stacking_baseline_lbfgs_v1,AUROC,max,5,0.805,0.0283168342190477,0.956,-0.1509999999999999,False,-0.103609,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
half_life_obach,mlp_stacking_baseline_lbfgs_v1,Spearman,max,5,0.1009519783186824,0.1366849372323874,0.576,-0.4750480216813175,False,-0.3904380216813176,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
herg,mlp_stacking_baseline_lbfgs_v1,AUROC,max,5,0.6142562592047128,0.0779492838105914,0.88,-0.2657437407952872,False,-0.2491017407952871,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
hia_hou,mlp_stacking_baseline_lbfgs_v1,AUROC,max,5,0.976625514403292,0.0028421887489435,0.993,-0.0163744855967078,False,-0.0176544855967078,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
ld50_zhu,mlp_stacking_baseline_lbfgs_v1,MAE,min,5,0.6419436718569442,0.0188882469685591,0.552,-0.0899436718569441,False,-0.0388726718569442,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
lipophilicity_astrazeneca,mlp_stacking_baseline_lbfgs_v1,MAE,min,5,0.6064733263481816,0.0300942527479946,0.456,-0.1504733263481816,False,-0.1335783263481817,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
pgp_broccatelli,mlp_stacking_baseline_lbfgs_v1,AUROC,max,5,0.855385230605172,0.0138322870413809,0.938,-0.0826147693948279,False,-0.0829777693948279,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
ppbr_az,mlp_stacking_baseline_lbfgs_v1,MAE,min,5,11.528438070100366,0.5928436853428585,7.44,-4.0884380701003655,False,-4.197821070100366,Fixed diagnostic LBFGS-MLP stacker trained on official-valid seed-mean candidate predictions; hyperparameters fixed a priori; official test used only for final reporting.
