Dataset,task_dir,n_test_molecules,n_valid_descriptors,n_invalid_smiles,median_mw,mean_mw,median_logp,mean_logp,median_tpsa,mean_tpsa,mw_group,logp_group,tpsa_group,rank_num,rank_bucket
TDC.AqSol,solubility_aqsoldb,2940,2940,0,169.093,205.959,1.043,0.943,40.460,53.185,Median MW <300 Da,Median cLogP <3,Median TPSA <75,1,Top-1
TDC.Bioav,bioavailability_ma,171,171,0,299.802,321.345,2.002,1.956,71.740,79.975,Median MW <300 Da,Median cLogP <3,Median TPSA <75,21,Rank >10
TDC.Caco2,caco2_wang,243,243,0,363.502,390.323,2.433,2.379,87.300,95.046,Median MW >=300 Da,Median cLogP <3,Median TPSA >=75,5,Top-5
TDC.HIA,hia_hou,154,154,0,284.344,324.000,2.200,2.274,63.320,71.955,Median MW <300 Da,Median cLogP <3,Median TPSA <75,1,Top-1
TDC.Lipo,lipophilicity_astrazeneca,1120,1120,0,375.934,371.157,3.143,3.098,79.360,77.817,Median MW >=300 Da,Median cLogP >=3,Median TPSA >=75,4,Top-5
TDC.Pgp,pgp_broccatelli,325,325,0,347.798,359.606,2.867,3.082,59.320,65.791,Median MW >=300 Da,Median cLogP <3,Median TPSA <75,1,Top-1
TDC.BBB,bbb_martins,542,542,0,306.408,333.553,2.286,2.279,56.200,70.288,Median MW >=300 Da,Median cLogP <3,Median TPSA <75,1,Top-1
TDC.PPBR,ppbr_az,744,744,0,402.966,401.809,3.521,3.492,83.720,82.196,Median MW >=300 Da,Median cLogP >=3,Median TPSA >=75,1,Top-1
TDC.VD,vdss_lombardo,302,302,0,346.945,411.133,1.341,1.228,83.280,101.439,Median MW >=300 Da,Median cLogP <3,Median TPSA >=75,3,Top-5
TDC.CYP2C9-I,cyp2c9_veith,3224,3224,0,339.472,349.005,2.869,2.775,69.900,74.719,Median MW >=300 Da,Median cLogP <3,Median TPSA <75,8,Top-10
TDC.CYP2C9-S,cyp2c9_substrate_carbonmangels,178,178,0,310.437,325.205,2.647,2.920,53.090,61.259,Median MW >=300 Da,Median cLogP <3,Median TPSA <75,2,Top-5
TDC.CYP2D6-I,cyp2d6_veith,3500,3500,0,351.461,360.404,3.056,2.963,69.560,74.560,Median MW >=300 Da,Median cLogP >=3,Median TPSA <75,4,Top-5
TDC.CYP2D6-S,cyp2d6_substrate_carbonmangels,178,178,0,307.339,317.735,2.609,2.878,54.370,61.093,Median MW >=300 Da,Median cLogP <3,Median TPSA <75,1,Top-1
TDC.CYP3A4-I,cyp3a4_veith,3287,3287,0,341.316,349.824,2.924,2.783,69.160,74.539,Median MW >=300 Da,Median cLogP <3,Median TPSA <75,4,Top-5
TDC.CYP3A4-S,cyp3a4_substrate_carbonmangels,179,179,0,293.370,314.175,2.479,2.692,58.200,64.661,Median MW <300 Da,Median cLogP <3,Median TPSA <75,1,Top-1
TDC.CL-Hepa,clearance_hepatocyte_az,324,324,0,423.742,424.332,3.553,3.445,83.350,87.183,Median MW >=300 Da,Median cLogP >=3,Median TPSA >=75,1,Top-1
TDC.CL-Micro,clearance_microsome_az,294,294,0,425.082,424.742,3.647,3.690,82.245,80.776,Median MW >=300 Da,Median cLogP >=3,Median TPSA >=75,1,Top-1
TDC.Half_Life,half_life_obach,178,178,0,340.423,387.387,1.993,1.882,78.895,97.310,Median MW >=300 Da,Median cLogP <3,Median TPSA >=75,7,Top-10
TDC.AMES,ames,1941,1941,0,186.339,214.381,1.541,1.826,43.370,51.958,Median MW <300 Da,Median cLogP <3,Median TPSA <75,1,Top-1
TDC.DILI,dili,127,127,0,290.323,333.968,2.183,2.097,72.720,86.523,Median MW <300 Da,Median cLogP <3,Median TPSA <75,6,Top-10
TDC.LD50,ld50_zhu,1969,1969,0,163.264,185.732,1.493,1.711,35.530,39.995,Median MW <300 Da,Median cLogP <3,Median TPSA <75,5,Top-5
TDC.hERG,herg,175,175,0,343.217,362.959,2.641,2.474,62.610,65.192,Median MW >=300 Da,Median cLogP <3,Median TPSA <75,6,Top-10
