Dataset,mw_group,rank_num,median_mw,median_logp,median_tpsa
TDC.AqSol,Median MW <300 Da,1,169.093,1.043,40.46
TDC.AMES,Median MW <300 Da,1,186.339,1.541,43.37
TDC.HIA,Median MW <300 Da,1,284.344,2.2,63.32
TDC.CYP3A4-S,Median MW <300 Da,1,293.37,2.479,58.2
TDC.LD50,Median MW <300 Da,5,163.264,1.493,35.53
TDC.DILI,Median MW <300 Da,6,290.323,2.183,72.72
TDC.BBB,Median MW >=300 Da,1,306.408,2.286,56.2
TDC.CYP2D6-S,Median MW >=300 Da,1,307.339,2.609,54.37
TDC.Pgp,Median MW >=300 Da,1,347.798,2.867,59.32
TDC.PPBR,Median MW >=300 Da,1,402.966,3.521,83.72
TDC.CL-Hepa,Median MW >=300 Da,1,423.742,3.553,83.35
TDC.CL-Micro,Median MW >=300 Da,1,425.082,3.647,82.245
TDC.CYP2C9-S,Median MW >=300 Da,2,310.437,2.647,53.09
TDC.VD,Median MW >=300 Da,3,346.945,1.341,83.28
TDC.CYP3A4-I,Median MW >=300 Da,4,341.316,2.924,69.16
TDC.CYP2D6-I,Median MW >=300 Da,4,351.461,3.056,69.56
TDC.Lipo,Median MW >=300 Da,4,375.934,3.143,79.36
TDC.Caco2,Median MW >=300 Da,5,363.502,2.433,87.3
TDC.hERG,Median MW >=300 Da,6,343.217,2.641,62.61
TDC.Half_Life,Median MW >=300 Da,7,340.423,1.993,78.895
TDC.CYP2C9-I,Median MW >=300 Da,8,339.472,2.869,69.9
