case_id,task,smiles,variant,metric,interpretation_scope,y_true,pred,error_or_correct,delta_error_vs_full,case_type
case01,ppbr_az,CC(C)(C(=O)c1cccnc1)c1cccnc1,full_v36_final,MAE,regression absolute-error visualization,11.18,54.67841716654741,43.49841716654741,0.0,module-sensitive
case01,ppbr_az,CC(C)(C(=O)c1cccnc1)c1cccnc1,no_chemistry_sidecar,MAE,regression absolute-error visualization,11.18,1.104,10.076,-33.42241716654741,module-sensitive
case01,ppbr_az,CC(C)(C(=O)c1cccnc1)c1cccnc1,no_ept_or_no_3d,MAE,regression absolute-error visualization,11.18,71.850424,60.670424000000004,17.172006833452592,module-sensitive
case01,ppbr_az,CC(C)(C(=O)c1cccnc1)c1cccnc1,no_prediction_level_ensemble,MAE,regression absolute-error visualization,11.18,29.0201356,17.8401356,-25.658281566547412,module-sensitive
case01,ppbr_az,CC(C)(C(=O)c1cccnc1)c1cccnc1,no_seedbag_single_seed,MAE,regression absolute-error visualization,11.18,27.23294,16.05294,-27.445477166547413,module-sensitive
case01,ppbr_az,CC(C)(C(=O)c1cccnc1)c1cccnc1,no_task_adaptive_selection,MAE,regression absolute-error visualization,11.18,29.0201356,17.8401356,-25.658281566547412,module-sensitive
case02,ppbr_az,C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1,full_v36_final,MAE,regression absolute-error visualization,37.06,72.69617413480549,35.636174134805486,0.0,module-sensitive
case02,ppbr_az,C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1,no_chemistry_sidecar,MAE,regression absolute-error visualization,37.06,62.96793699999999,25.90793699999999,-9.728237134805497,module-sensitive
case02,ppbr_az,C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1,no_ept_or_no_3d,MAE,regression absolute-error visualization,37.06,80.29772499999999,43.23772499999998,7.601550865194497,module-sensitive
case02,ppbr_az,C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1,no_prediction_level_ensemble,MAE,regression absolute-error visualization,37.06,56.8963858,19.836385799999995,-15.799788334805491,module-sensitive
case02,ppbr_az,C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1,no_seedbag_single_seed,MAE,regression absolute-error visualization,37.06,54.559963,17.499963,-18.136211134805485,module-sensitive
case02,ppbr_az,C[C@@]1(c2cc(-c3cncnc3)c(F)cc2F)CCSC(N)=N1,no_task_adaptive_selection,MAE,regression absolute-error visualization,37.06,56.8963858,19.836385799999995,-15.799788334805491,module-sensitive
case03,clearance_hepatocyte_az,CCCNC(=O)CSc1ccc(S(=O)(=O)N2CCCC2)cn1,full_v36_final,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,3.0,-0.28836214,3.28836214,0.0,ranking-visualization
case03,clearance_hepatocyte_az,CCCNC(=O)CSc1ccc(S(=O)(=O)N2CCCC2)cn1,no_chemistry_sidecar,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,3.0,7.2118187,4.2118187,0.9234565600000004,ranking-visualization
case03,clearance_hepatocyte_az,CCCNC(=O)CSc1ccc(S(=O)(=O)N2CCCC2)cn1,no_ept_or_no_3d,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,3.0,110.5546562,107.5546562,104.26629406,ranking-visualization
case03,clearance_hepatocyte_az,CCCNC(=O)CSc1ccc(S(=O)(=O)N2CCCC2)cn1,no_prediction_level_ensemble,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,3.0,30.4544064,27.4544064,24.16604426,ranking-visualization
case03,clearance_hepatocyte_az,CCCNC(=O)CSc1ccc(S(=O)(=O)N2CCCC2)cn1,no_seedbag_single_seed,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,3.0,27.178894,24.178894,20.89053186,ranking-visualization
case03,clearance_hepatocyte_az,CCCNC(=O)CSc1ccc(S(=O)(=O)N2CCCC2)cn1,no_task_adaptive_selection,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,3.0,30.4544064,27.4544064,24.16604426,ranking-visualization
case04,clearance_microsome_az,Cc1nc2ncnn2c(O)c1CCOC(=O)c1ccccc1F,full_v36_final,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,150.0,54.41901101784056,95.58098898215944,0.0,ablation-better-than-full
case04,clearance_microsome_az,Cc1nc2ncnn2c(O)c1CCOC(=O)c1ccccc1F,no_chemistry_sidecar,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,150.0,135.55923,14.440769999999986,-81.14021898215945,ablation-better-than-full
case04,clearance_microsome_az,Cc1nc2ncnn2c(O)c1CCOC(=O)c1ccccc1F,no_ept_or_no_3d,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,150.0,135.55923,14.440769999999986,-81.14021898215945,ablation-better-than-full
case04,clearance_microsome_az,Cc1nc2ncnn2c(O)c1CCOC(=O)c1ccccc1F,no_prediction_level_ensemble,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,150.0,135.55923,14.440769999999986,-81.14021898215945,ablation-better-than-full
case04,clearance_microsome_az,Cc1nc2ncnn2c(O)c1CCOC(=O)c1ccccc1F,no_seedbag_single_seed,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,150.0,135.58307,14.416930000000008,-81.16405898215943,ablation-better-than-full
case04,clearance_microsome_az,Cc1nc2ncnn2c(O)c1CCOC(=O)c1ccccc1F,no_task_adaptive_selection,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,150.0,60.6220688,89.3779312,-6.2030577821594335,ablation-better-than-full
case05,vdss_lombardo,O=C1CCc2ccc(OCCCC[NH+]3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,full_v36_final,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,4.9,0.9215111111111112,3.978488888888889,0.0,ranking-visualization
case05,vdss_lombardo,O=C1CCc2ccc(OCCCC[NH+]3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,no_chemistry_sidecar,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,4.9,54.924767,50.024767000000004,46.046278111111114,ranking-visualization
case05,vdss_lombardo,O=C1CCc2ccc(OCCCC[NH+]3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,no_ept_or_no_3d,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,4.9,4.56134792,0.33865208000000013,-3.639836808888889,ranking-visualization
case05,vdss_lombardo,O=C1CCc2ccc(OCCCC[NH+]3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,no_prediction_level_ensemble,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,4.9,4.56134792,0.33865208000000013,-3.639836808888889,ranking-visualization
case05,vdss_lombardo,O=C1CCc2ccc(OCCCC[NH+]3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,no_seedbag_single_seed,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,4.9,4.09949,0.80051,-3.177978888888889,ranking-visualization
case05,vdss_lombardo,O=C1CCc2ccc(OCCCC[NH+]3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,no_task_adaptive_selection,Spearman,ranking/continuous-score visualization; no single-molecule Spearman conclusion,4.9,4.47813898,0.4218610200000006,-3.5566278688888886,ranking-visualization
case06,pgp_broccatelli,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,full_v36_final,AUROC,classification probability/correctness visualization,0.0,0.4085901,True,0.0,boundary
case06,pgp_broccatelli,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,no_chemistry_sidecar,AUROC,classification probability/correctness visualization,0.0,1.0,False,0.5914098999999999,boundary
case06,pgp_broccatelli,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,no_ept_or_no_3d,AUROC,classification probability/correctness visualization,0.0,0.0216676947,True,-0.3869224053,boundary
case06,pgp_broccatelli,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,no_prediction_level_ensemble,AUROC,classification probability/correctness visualization,0.0,0.0662529676,True,-0.3423371324,boundary
case06,pgp_broccatelli,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,no_seedbag_single_seed,AUROC,classification probability/correctness visualization,0.0,0.09010058,True,-0.31848952,boundary
