drug,smiles,task_sheet,task,external_label,canonical_smiles,source_row,in_train,in_valid,in_test,usable_no_train_overlap
Vanzacaftor,CC1(C)C[C@H]2CN1C1=NC(=CC=C1C(=O)NS(=O)(=O)C1=CC=CC(NCCC2)=N1)N1C=CC(OCCC2C3(CC3)C22CC2)=N1,TDC.AqSol,solubility_aqsoldb,-3.56,CC1(C)C[C@@H]2CCCNc3cccc(n3)S(=O)(=O)NC(=O)c3ccc(-n4ccc(OCCC5C6(CC6)C56CC6)n4)nc3N1C2,2,False,False,False,True
Tezacaftor,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,TDC.AqSol,solubility_aqsoldb,-5.02,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,3,False,False,False,True
Vorasidenib,C[C@H](C(F)(F)F)NC1=NC(=NC(=N1)C2=NC(=CC=C2)Cl)N[C@H](C)C(F)(F)F,TDC.BBB,bbb_martins,1.0,C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(-c2cccc(Cl)n2)n1)C(F)(F)F,5,False,False,False,True
Danicopan,CC(=O)c1nn(CC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2cccc(Br)n2)c2ccc(-c3cnc(C)nc3)cc12,TDC.CYP3A4-S,cyp3a4_substrate_carbonmangels,0.0,CC(=O)c1nn(CC(=O)N2C[C@H](F)C[C@H]2C(=O)Nc2cccc(Br)n2)c2ccc(-c3cnc(C)nc3)cc12,6,False,False,False,True
Xolremdi,C1C[C@@H](C2=C(C1)C=CC=N2)N(CCCCN)CC3=NC4=CC=CC=C4N3,TDC.CYP3A4-S,cyp3a4_substrate_carbonmangels,1.0,NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21,10,False,False,False,True
Lazertinib,COC1=C(NC2=NC=CC(=N2)N2C=C(CN(C)C)C(=N2)C2=CC=CC=C2)C=C(NC(=O)C=C)C(=C1)N1CCOCC1,TDC.PPBR,ppbr_az,99.2,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1,11,False,False,False,True
Lazertinib,COC1=C(NC2=NC=CC(=N2)N2C=C(CN(C)C)C(=N2)C2=CC=CC=C2)C=C(NC(=O)C=C)C(=C1)N1CCOCC1,TDC.CYP3A4-S,cyp3a4_substrate_carbonmangels,1.0,C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1,11,False,False,False,True
Resmetirom,CC(C)C1=CC(=NNC1=O)OC2=C(C=C(C=C2Cl)N3C(=O)NC(=O)C(=N3)C#N)Cl,TDC.PPBR,ppbr_az,99.3,CC(C)c1cc(Oc2c(Cl)cc(-n3nc(C#N)c(=O)[nH]c3=O)cc2Cl)n[nH]c1=O,12,False,False,False,True
Aprocitentan,C1=CC(=CC=C1C2=C(N=CN=C2OCCOC3=NC=C(C=N3)Br)NS(=O)(=O)N)Br,TDC.PPBR,ppbr_az,99.3,NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,13,False,False,False,True
Aprocitentan,C1=CC(=CC=C1C2=C(N=CN=C2OCCOC3=NC=C(C=N3)Br)NS(=O)(=O)N)Br,TDC.CYP3A4-S,cyp3a4_substrate_carbonmangels,1.0,NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,13,False,False,False,True
Vadadustat,Oc1cc(cnc1C(=O)NCC(=O)O)c2cccc(Cl)c2,TDC.PPBR,ppbr_az,99.5,O=C(O)CNC(=O)c1ncc(-c2cccc(Cl)c2)cc1O,14,False,False,False,True
Elafibranor,CSC1=CC=C(C=C1)C(=O)\C=C\C1=CC(C)=C(OC(C)(C)C(O)=O)C(C)=C1,TDC.PPBR,ppbr_az,99.7,CSc1ccc(C(=O)/C=C/c2cc(C)c(OC(C)(C)C(=O)O)c(C)c2)cc1,15,False,False,False,True
Crinecerfont,FC1=CC(=CC=C1C)C(N(C2=NC(C=3C=C(C(OC)=CC3Cl)C)=C(S2)C)CC#C)CC4CC4,TDC.PPBR,ppbr_az,99.9,C#CCN(c1nc(-c2cc(C)c(OC)cc2Cl)c(C)s1)C(CC1CC1)c1ccc(C)c(F)c1,16,False,False,False,True
Crinecerfont,FC1=CC(=CC=C1C)C(N(C2=NC(C=3C=C(C(OC)=CC3Cl)C)=C(S2)C)CC#C)CC4CC4,TDC.CYP3A4-S,cyp3a4_substrate_carbonmangels,1.0,C#CCN(c1nc(-c2cc(C)c(OC)cc2Cl)c(C)s1)C(CC1CC1)c1ccc(C)c(F)c1,16,False,False,False,True
Revumenib,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CCC(CC5)NS(=O)(=O)CC,TDC.PPBR,ppbr_az,99.0,CCN(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(CC3CCC(NS(=O)(=O)CC)CC3)CC2)C1)C(C)C,17,False,False,False,True
Revumenib,CCN(C(C)C)C(=O)C1=C(C=CC(=C1)F)OC2=CN=CN=C2N3CC4(C3)CCN(CC4)CC5CCC(CC5)NS(=O)(=O)CC,TDC.CYP3A4-S,cyp3a4_substrate_carbonmangels,1.0,CCN(C(=O)c1cc(F)ccc1Oc1cncnc1N1CC2(CCN(CC3CCC(NS(=O)(=O)CC)CC3)CC2)C1)C(C)C,17,False,False,False,True
