drug,split,overlap
Mavorixafor,train,False
Mavorixafor,train,False
Mavorixafor,train,False
Mavorixafor,train,False
Tezacaftor,train,False
Tezacaftor,train,False
Tezacaftor,train,False
Tezacaftor,train,False
Tezacaftor,train,False
Tezacaftor,train,False
Tezacaftor,train,False
Tezacaftor,train,False
Tezacaftor,train,False
Tezacaftor,train,False
Tezacaftor,train,False
Tezacaftor,train,False
Deutivacaftor,train,False
Deutivacaftor,train,False
Deutivacaftor,train,False
Deutivacaftor,train,False
Deutivacaftor,train,False
Deutivacaftor,train,False
Vanzacaftor,train,False
Vanzacaftor,train,False
Vanzacaftor,train,False
Vanzacaftor,train,False
Vanzacaftor,train,False
Vanzacaftor,train,False
Vanzacaftor,train,False
Vanzacaftor,train,False
Vanzacaftor,train,False
Vanzacaftor,train,False
Vanzacaftor,train,False
Mavorixafor,valid,False
Mavorixafor,valid,False
Mavorixafor,valid,False
Mavorixafor,valid,False
Tezacaftor,valid,False
Tezacaftor,valid,False
Tezacaftor,valid,False
Tezacaftor,valid,False
Tezacaftor,valid,False
Tezacaftor,valid,False
Tezacaftor,valid,False
Tezacaftor,valid,False
Tezacaftor,valid,False
Tezacaftor,valid,False
Tezacaftor,valid,False
Tezacaftor,valid,False
Deutivacaftor,valid,False
Deutivacaftor,valid,False
Deutivacaftor,valid,False
Deutivacaftor,valid,False
Deutivacaftor,valid,False
Deutivacaftor,valid,False
Vanzacaftor,valid,False
Vanzacaftor,valid,False
Vanzacaftor,valid,False
Vanzacaftor,valid,False
Vanzacaftor,valid,False
Vanzacaftor,valid,False
Vanzacaftor,valid,False
Vanzacaftor,valid,False
Vanzacaftor,valid,False
Vanzacaftor,valid,False
Vanzacaftor,valid,False
Mavorixafor,test,False
Mavorixafor,test,False
Mavorixafor,test,False
Mavorixafor,test,False
Tezacaftor,test,False
Tezacaftor,test,False
Tezacaftor,test,False
Tezacaftor,test,False
Tezacaftor,test,False
Tezacaftor,test,False
Tezacaftor,test,False
Tezacaftor,test,False
Tezacaftor,test,False
Tezacaftor,test,False
Tezacaftor,test,False
Tezacaftor,test,False
Deutivacaftor,test,False
Deutivacaftor,test,False
Deutivacaftor,test,False
Deutivacaftor,test,False
Deutivacaftor,test,False
Deutivacaftor,test,False
Vanzacaftor,test,False
Vanzacaftor,test,False
Vanzacaftor,test,False
Vanzacaftor,test,False
Vanzacaftor,test,False
Vanzacaftor,test,False
Vanzacaftor,test,False
Vanzacaftor,test,False
Vanzacaftor,test,False
Vanzacaftor,test,False
Vanzacaftor,test,False
