drug,perturbation_id,source_note,smiles,edit,target_region,atom_indices,task_sheet,task,external_label,original_input_smiles,canonical_smiles,trimole_exact_reconstructed_pred_mean,trimole_exact_reconstructed_pred_std,n_runs,prediction_status,endpoint_config,official_test_replay_max_abs_diff_vs_materialized,official_test_replay_mean_abs_diff_vs_materialized,exact_v36_external_status,MolWt,cLogP,TPSA,HBD,HBA,RotBonds,HeavyAtoms,original_score,score_delta_vs_original,abs_score_delta_vs_original,delta_MolWt_vs_original,delta_cLogP_vs_original,delta_TPSA_vs_original,delta_HBD_vs_original,delta_HBA_vs_original,delta_RotBonds_vs_original,delta_HeavyAtoms_vs_original
Tezacaftor,Tezacaftor__O_to_CH2__01,matched replacement perturbation,CCC(C)(C)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,O -> CH2,oxygen linker / polarity region,4.0,TDC.Pgp,pgp_broccatelli,1.0,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,CCC(C)(C)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,0.5909119405693224,0.1764227912866501,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,518.5320000000003,4.813000000000006,92.95,3,6,8,37,0.3826286849175114,0.208283255651811,0.208283255651811,-1.97199999999998,1.417700000000004,-20.230000000000004,-1,-1,0,0
Deutivacaftor,Deutivacaftor__O_to_CH2__04,matched replacement perturbation,[2H]C([2H])([2H])C(c1cc(C(C)(C)C)c(NC(=O)C2=CNc3ccccc3C2=C)cc1O)(C([2H])([2H])[2H])C([2H])([2H])[2H],O -> CH2,oxygen linker / polarity region,28.0,TDC.Pgp,pgp_broccatelli,1.0,[2H]C([2H])([2H])C(C1=C(C=C(C(=C1)C(C)(C)C)NC(=O)C2=CNC3=CC=CC=C3C2=O)O)(C([2H])([2H])[2H])C([2H])([2H])[2H],[2H]C([2H])([2H])C(c1cc(C(C)(C)C)c(NC(=O)C2=CNc3ccccc3C2=C)cc1O)(C([2H])([2H])[2H])C([2H])([2H])[2H],0.7298526877786329,0.1491847663199742,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,399.5819160020002,5.948500000000005,61.36,3,3,2,29,0.914545372174849,-0.1846926843962161,0.1846926843962161,-1.97199999999998,0.8675000000000006,-20.83,0,0,0,0
Tezacaftor,Tezacaftor__O_to_CH2__07,matched replacement perturbation,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)C5)CC3)c(F)cc2n1C[C@@H](O)CO,O -> CH2,oxygen linker / polarity region,24.0,TDC.Pgp,pgp_broccatelli,1.0,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)C5)CC3)c(F)cc2n1C[C@@H](O)CO,0.5613408645514035,0.1683839624798773,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,518.5320000000003,3.601500000000002,103.95,4,6,8,37,0.3826286849175114,0.1787121796338921,0.1787121796338921,-1.97199999999998,0.2061999999999999,-9.230000000000004,0,-1,0,0
Tezacaftor,Tezacaftor__O_to_CH2__09,matched replacement perturbation,C[C@@H](CO)Cn1c(C(C)(C)CO)cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc21,O -> CH2,oxygen linker / polarity region,34.0,TDC.Pgp,pgp_broccatelli,1.0,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,C[C@@H](CO)Cn1c(C(C)(C)CO)cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc21,0.4967332956718279,0.1777900968066875,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,518.5320000000003,4.670500000000004,92.95000000000002,3,6,8,37,0.3826286849175114,0.1141046107543165,0.1141046107543165,-1.97199999999998,1.275200000000002,-20.22999999999999,-1,-1,0,0
Mavorixafor,Mavorixafor__aliphatic_N_to_C__02,matched replacement perturbation,CCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21,aliphatic N -> C,basic amine / linker region,0.0,TDC.Pgp,pgp_broccatelli,1.0,NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21,CCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21,0.58811605765937,0.202793457273698,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,348.49400000000014,5.027700000000004,44.81,1,3,7,26,0.4808435312183512,0.1072725264410188,0.1072725264410188,-0.9880000000000564,1.4513000000000016,-26.019999999999996,-1,-1,0,0
Tezacaftor,Tezacaftor__O_to_CH2__10,matched replacement perturbation,CC[C@H](O)Cn1c(C(C)(C)CO)cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc21,O -> CH2,oxygen linker / polarity region,36.0,TDC.Pgp,pgp_broccatelli,1.0,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,CC[C@H](O)Cn1c(C(C)(C)CO)cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc21,0.473373809174535,0.1761070113069174,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,518.5320000000003,4.813000000000004,92.95000000000002,3,6,8,37,0.3826286849175114,0.0907451242570235,0.0907451242570235,-1.97199999999998,1.4177000000000022,-20.22999999999999,-1,-1,0,0
Tezacaftor,Tezacaftor__O_to_CH2__04,matched replacement perturbation,C=C(Nc1cc2cc(C(C)(C)CO)n(C[C@@H](O)CO)c2cc1F)C1(c2ccc3c(c2)OC(F)(F)O3)CC1,O -> CH2,oxygen linker / polarity region,12.0,TDC.Pgp,pgp_broccatelli,1.0,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,C=C(Nc1cc2cc(C(C)(C)CO)n(C[C@@H](O)CO)c2cc1F)C1(c2ccc3c(c2)OC(F)(F)O3)CC1,0.4666096224248063,0.1474248636684907,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,518.5320000000002,4.382400000000003,96.11,4,7,9,37,0.3826286849175114,0.0839809375072949,0.0839809375072949,-1.9720000000000937,0.9871000000000012,-17.069999999999993,0,0,1,0
Tezacaftor,Tezacaftor__aliphatic_N_to_C__03,matched replacement perturbation,CC(C)(CO)c1cc2cc(CC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,aliphatic N -> C,basic amine / linker region,10.0,TDC.Pgp,pgp_broccatelli,1.0,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,CC(C)(CO)c1cc2cc(CC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,0.4625830685964301,0.1651671418842017,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,519.5160000000003,3.5684000000000027,101.15,3,7,9,37,0.3826286849175114,0.0799543836789187,0.0799543836789187,-0.9879999999999428,0.1731000000000007,-12.03,-1,0,1,0
Tezacaftor,Tezacaftor__aliphatic_N_to_O__02,matched replacement perturbation,CC(C)(CO)c1cc2cc(OC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,aliphatic N -> O,basic amine / polar linker region,10.0,TDC.Pgp,pgp_broccatelli,1.0,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,CC(C)(CO)c1cc2cc(OC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,0.461174820681411,0.1174584593222753,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,521.4880000000003,3.3622000000000027,110.38000000000002,3,8,8,37,0.3826286849175114,0.0785461357638996,0.0785461357638996,0.9840000000000372,-0.0330999999999992,-2.799999999999983,-1,1,0,0
Vanzacaftor,Vanzacaftor__sat_ring_CH2_to_O__10,matched replacement perturbation,CC1(C)C[C@@H]2CCCNc3cccc(n3)S(=O)(=O)NC(=O)c3ccc(-n4ccc(OCCC5C6(CC6)C56CO6)n4)nc3N1C2,saturated ring CH2 -> O,saturated ring polarity/shape region,38.0,TDC.Pgp,pgp_broccatelli,1.0,CC1(C)C[C@H]2CN1C1=NC(=CC=C1C(=O)NS(=O)(=O)C1=CC=CC(NCCC2)=N1)N1C=CC(OCCC2C3(CC3)C22CC2)=N1,CC1(C)C[C@@H]2CCCNc3cccc(n3)S(=O)(=O)NC(=O)c3ccc(-n4ccc(OCCC5C6(CC6)C56CO6)n4)nc3N1C2,0.8358715106795211,0.0614459448932619,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,619.748,3.539500000000002,143.87,2,11,5,44,0.888676573293141,-0.0528050626136198,0.0528050626136198,1.9720000000000937,-1.0112000000000014,12.529999999999973,0,1,0,0
Tezacaftor,Tezacaftor__F_removed__08,matched replacement perturbation,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)ccc2n1C[C@@H](O)CO,F removal,halogenated hydrophobic region,28.0,TDC.Pgp,pgp_broccatelli,1.0,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)ccc2n1C[C@@H](O)CO,0.4336451728765073,0.1347214186225771,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,502.51400000000024,3.256200000000002,113.18,4,7,8,36,0.3826286849175114,0.0510164879589958,0.0510164879589958,-17.99000000000001,-0.1391,0.0,0,0,0,-1
Tezacaftor,Tezacaftor__sat_ring_CH2_to_O__11,matched replacement perturbation,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CO3)c(F)cc2n1C[C@@H](O)CO,saturated ring CH2 -> O,saturated ring polarity/shape region,25.0,TDC.Pgp,pgp_broccatelli,1.0,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CO3)c(F)cc2n1C[C@@H](O)CO,0.3321754376177682,0.1345232193187594,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,522.4760000000002,2.5892000000000004,125.71,4,8,8,37,0.3826286849175114,-0.0504532472997432,0.0504532472997432,1.97199999999998,-0.8061000000000016,12.53,0,1,0,0
Tezacaftor,Tezacaftor__O_to_CH2__05,matched replacement perturbation,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)CC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,O -> CH2,oxygen linker / polarity region,20.0,TDC.Pgp,pgp_broccatelli,1.0,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)CC(F)(F)O5)CC3)c(F)cc2n1C[C@@H](O)CO,0.4257728465420648,0.1630307516001873,5,exact_v36_selected_endpoint_reconstructed_external_prediction,pgp_frozen_blend_audit_v1; logit blend 0.65*layerwise C+K+E gated + 0.25*K+E + 0.10*K; seeds 1-5,9.89798852879531e-08,1.8222689001294505e-08,exact_reconstruction_pass,518.5320000000003,3.601500000000002,103.95,4,6,8,37,0.3826286849175114,0.0431441616245534,0.0431441616245534,-1.97199999999998,0.2061999999999999,-9.230000000000004,0,-1,0,0
