seed,group,source_run_dir,max_abs_diff_vs_source_test_predictions,mean_abs_diff_vs_source_test_predictions
1,layerwise_selected_5seed,https://github.com/dchen0212/trimole_hybird/results_strict/official_layerwise_selected_5seed_v1/pgp_broccatelli__chemberta_kpgt_ept_gated__final__seed_1/run_20260423_0840/pgp_broccatelli,2.980232238769531e-07,3.503293409495051e-08
1,aux_kpgt_ept_5seed,https://github.com/dchen0212/trimole_hybird/results_strict/pgp_auxiliary_5seed_routes_v1/pgp_broccatelli__kpgt_ept__seed_1/run_20260424_0305/pgp_broccatelli,8.940696716308594e-07,2.858590109106845e-08
1,aux_kpgt_5seed,https://github.com/dchen0212/trimole_hybird/results_strict/pgp_auxiliary_5seed_routes_v1/pgp_broccatelli__kpgt__seed_1/run_20260424_0308/pgp_broccatelli,3.576278686523438e-07,2.8342616823903542e-08
2,layerwise_selected_5seed,https://github.com/dchen0212/trimole_hybird/results_strict/official_layerwise_selected_5seed_v1/pgp_broccatelli__chemberta_kpgt_ept_gated__final__seed_2/run_20260423_0840/pgp_broccatelli,7.152557373046875e-07,3.3755691705886837e-08
2,aux_kpgt_ept_5seed,https://github.com/dchen0212/trimole_hybird/results_strict/pgp_auxiliary_5seed_routes_v1/pgp_broccatelli__kpgt_ept__seed_2/run_20260424_0306/pgp_broccatelli,3.576278686523438e-07,2.5544847782236497e-08
2,aux_kpgt_5seed,https://github.com/dchen0212/trimole_hybird/results_strict/pgp_auxiliary_5seed_routes_v1/pgp_broccatelli__kpgt__seed_2/run_20260424_0308/pgp_broccatelli,4.172325134277344e-07,2.5301563516091183e-08
3,layerwise_selected_5seed,https://github.com/dchen0212/trimole_hybird/results_strict/official_layerwise_selected_5seed_v1/pgp_broccatelli__chemberta_kpgt_ept_gated__final__seed_3/run_20260423_0841/pgp_broccatelli,5.662441254217221e-07,3.9594514049588553e-08
3,aux_kpgt_ept_5seed,https://github.com/dchen0212/trimole_hybird/results_strict/pgp_auxiliary_5seed_routes_v1/pgp_broccatelli__kpgt_ept__seed_3/run_20260424_0307/pgp_broccatelli,8.940696716308594e-07,3.187023866451632e-08
3,aux_kpgt_5seed,https://github.com/dchen0212/trimole_hybird/results_strict/pgp_auxiliary_5seed_routes_v1/pgp_broccatelli__kpgt__seed_3/run_20260424_0308/pgp_broccatelli,8.642673492431641e-07,2.685250071199579e-08
4,layerwise_selected_5seed,https://github.com/dchen0212/trimole_hybird/results_strict/official_layerwise_selected_5seed_v1/pgp_broccatelli__chemberta_kpgt_ept_gated__final__seed_4/run_20260423_0841/pgp_broccatelli,3.576278686523438e-07,3.989861938296408e-08
4,aux_kpgt_ept_5seed,https://github.com/dchen0212/trimole_hybird/results_strict/pgp_auxiliary_5seed_routes_v1/pgp_broccatelli__kpgt_ept__seed_4/run_20260424_0307/pgp_broccatelli,5.364418029785156e-07,3.7617829400348853e-08
4,aux_kpgt_5seed,https://github.com/dchen0212/trimole_hybird/results_strict/pgp_auxiliary_5seed_routes_v1/pgp_broccatelli__kpgt__seed_4/run_20260424_0309/pgp_broccatelli,1.1622905731201172e-06,4.497717840713307e-08
5,layerwise_selected_5seed,https://github.com/dchen0212/trimole_hybird/results_strict/official_layerwise_selected_5seed_v1/pgp_broccatelli__chemberta_kpgt_ept_gated__final__seed_5/run_20260423_0841/pgp_broccatelli,3.576278686523438e-07,3.457677609395259e-08
5,aux_kpgt_ept_5seed,https://github.com/dchen0212/trimole_hybird/results_strict/pgp_auxiliary_5seed_routes_v1/pgp_broccatelli__kpgt_ept__seed_5/run_20260424_0307/pgp_broccatelli,3.576278686523438e-07,3.287378624141453e-08
5,aux_kpgt_5seed,https://github.com/dchen0212/trimole_hybird/results_strict/pgp_auxiliary_5seed_routes_v1/pgp_broccatelli__kpgt__seed_5/run_20260424_0309/pgp_broccatelli,7.74860382024567e-07,4.1084630167273994e-08
