task,metric,model,source_kind,n_runs,n_samples,score_mean,score_std
ames,AUROC,trimole_hybrid,legacy_materialized_final,5,1457,0.8719454071941882,0.0006515271843632
bbb_martins,AUROC,trimole_hybrid,legacy_materialized_final,1,406,0.9281191369606004,
bioavailability_ma,AUROC,trimole_hybrid,recovered_fixed_endpoint,5,128,0.7222480877951447,0.00404846765375
caco2_wang,MAE,trimole_hybrid,legacy_materialized_final,5,182,0.2836473732906736,0.0022896749235878
clearance_hepatocyte_az,Spearman,trimole_hybrid,test_blind_target_only_five_seed,5,243,0.1812369145211624,0.0230712534233265
clearance_microsome_az,Spearman,trimole_hybrid,legacy_materialized_final,5,221,0.6428140013895282,0.0057731492137335
cyp2c9_substrate_carbonmangels,AUPRC,trimole_hybrid,recovered_fixed_endpoint,5,135,0.4433698985861019,0.0233580814323923
cyp2c9_veith,AUPRC,trimole_hybrid,recovered_fixed_endpoint,5,2419,0.790586152904674,0.0026075674557395
cyp2d6_substrate_carbonmangels,AUPRC,trimole_hybrid,legacy_materialized_final,5,135,0.7475310487600084,0.0096103883360214
cyp2d6_veith,AUPRC,trimole_hybrid,v29_formula_reconstruction,5,2626,0.719167492795628,0.0055102583788553
cyp3a4_substrate_carbonmangels,AUROC,trimole_hybrid,test_blind_target_only_five_seed,5,135,0.6536618444846293,0.0093914021486061
cyp3a4_veith,AUPRC,trimole_hybrid,v29_formula_reconstruction,5,2467,0.8841211146054248,0.0032063240710751
dili,AUROC,trimole_hybrid,v29_formula_reconstruction,5,96,0.908608695652174,0.0055201983471665
half_life_obach,Spearman,trimole_hybrid,v29_formula_reconstruction,5,135,0.4913899884769625,0.009785242517661
herg,AUROC,trimole_hybrid,recovered_fixed_endpoint,5,132,0.8633578792341678,0.0023342106340098
hia_hou,AUROC,trimole_hybrid,legacy_materialized_final,5,117,0.9942798353909466,0.0017362158938049
ld50_zhu,MAE,trimole_hybrid,recovered_fixed_endpoint,5,1478,0.6030709523866883,0.0038365005977275
lipophilicity_astrazeneca,MAE,trimole_hybrid,v29_formula_reconstruction,5,840,0.4728945544345438,0.0064992863946866
pgp_broccatelli,AUROC,trimole_hybrid,legacy_materialized_final,5,245,0.9383631031724872,0.0039859716169055
ppbr_az,MAE,trimole_hybrid,legacy_materialized_final,5,559,7.330616710175923,0.0985547040828998
solubility_aqsoldb,MAE,trimole_hybrid,formula_reconstruction_current_split,5,1995,0.738442930216593,0.0005100366434665
vdss_lombardo,Spearman,trimole_hybrid,legacy_materialized_final,5,226,0.6610141888361045,0.0046441335699772
